club#played#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
club#played#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
fleur de lys rfc#22#0#1#618#335#70#45#9#0#93
abergavenny rfc#22#0#4#611#318#89#40#12#4#88
rhymney rfc#22#0#9#452#406#55#50#5#4#61
pill harriers rfc#22#1#9#590#442#79#58#8#3#61
croesyceiliog rfc#22#1#10#423#497#51#67#4#3#53
tredegar ironsides rfc#22#0#12#382#399#46#45#5#5#50
newport hsob rfc#22#0#13#418#529#53#65#7#2#45
pontypool united rfc#22#3#12#442#498#54#61#4#6#44
gwernyfed rfc#22#0#13#338#386#41#46#2#5#43
blaina rfc#22#1#13#383#452#39#56#1#7#42
nelson rfc#22#0#14#383#478#49#54#2#4#38
cwmbran rfc#22#2#18#286#586#38#77#1#5#18
