date#opponents#h / a#result f - a#attendance
6 september 1902#gainsborough trinity#a#1 - 0#4000
13 september 1902#burton united#h#1 - 0#15000
20 september 1902#bristol city#a#1 - 3#6000
27 september 1902#glossop#h#1 - 1#12000
4 october 1902#chesterfield#h#2 - 1#12000
11 october 1902#stockport county#a#1 - 2#6000
25 october 1902#woolwich arsenal#a#1 - 0#12000
8 november 1902#lincoln city#a#3 - 1#3000
15 november 1902#small heath#h#0 - 1#25000
22 november 1902#leicester fosse#a#1 - 1#5000
6 december 1902#burnley#a#2 - 0#4000
20 december 1902#burslem port vale#a#1 - 1#1000
25 december 1902#manchester city#h#1 - 1#40000
26 december 1902#blackpool#h#2 - 2#10000
27 december 1902#barnsley#h#2 - 1#9000
3 january 1903#gainsborough trinity#h#3 - 1#8000
10 january 1903#burton united#a#1 - 3#3000
17 january 1903#bristol city#h#1 - 2#12000
24 january 1903#glossop#a#3 - 1#5000
31 january 1903#chesterfield#a#0 - 2#6000
14 february 1903#blackpool#a#0 - 2#3000
28 february 1903#doncaster rovers#a#2 - 2#4000
7 march 1903#lincoln city#h#1 - 2#4000
9 march 1903#woolwich arsenal#h#3 - 0#5000
21 march 1903#leicester fosse#h#5 - 1#8000
23 march 1903#stockport county#h#0 - 0#2000
30 march 1903#preston north end#h#0 - 1#3000
4 april 1903#burnley#h#4 - 0#5000
10 april 1903#manchester city#a#2 - 0#30000
11 april 1903#preston north end#a#1 - 3#7000
13 april 1903#doncaster rovers#h#4 - 0#6000
18 april 1903#burslem port vale#h#2 - 1#8000
20 april 1903#small heath#a#1 - 2#6000
25 april 1903#barnsley#a#0 - 0#2000
