player#position#date of birth (age)#caps#club / province
george chuter#hooker#9 july 1976#19#leicester
lee mears#hooker#5 march 1979#18#bath
mark regan#hooker#28 january 1972#43#bristol
jason hobson#prop#10 february 1983#0#bristol
tim payne#prop#29 april 1979#5#wasps
andrew sheridan#prop#1 november 1979#20#sale
matt stevens#prop#1 october 1982#20#bath
phil vickery ( c )#prop#14 march 1976#60#wasps
steve borthwick#lock#12 october 1979#32#bath
louis deacon#lock#7 october 1980#6#leicester
ben kay#lock#14 december 1975#53#leicester
simon shaw#lock#1 september 1973#43#wasps
tom croft#flanker#7 november 1985#0#leicester
james haskell#flanker#2 april 1985#2#wasps
michael lipman#flanker#16 january 1980#0#bath
magnus lund#flanker#25 june 1983#10#sale
lewis moody#flanker#12 june 1978#52#leicester
tom rees#flanker#11 september 1984#8#wasps
joe worsley#flanker#14 june 1977#65#wasps
nick easter#number 8#15 august 1978#12#harlequins
luke narraway#number 8#7 september 1983#0#gloucester
danny care#scrum - half#2 january 1987#0#harlequins
lee dickson#scrum - half#29 march 1985#0#newcastle
andy gomarsall#scrum - half#24 july 1974#33#harlequins
paul hodgson#scrum - half#25 april 1982#0#london irish
peter richards#scrum - half#10 march 1978#12#london irish
richard wigglesworth#scrum - half#9 june 1983#0#sale
danny cipriani#fly - half#2 november 1987#0#wasps
shane geraghty#fly - half#12 august 1986#2#london irish
charlie hodgson#fly - half#12 november 1980#29#sale
jonny wilkinson#fly - half#25 may 1979#65#newcastle
toby flood#centre#8 august 1985#12#newcastle
jamie noon#centre#9 may 1979#27#newcastle
mathew tait#centre#6 february 1986#19#newcastle
mike tindall#centre#18 october 1978#54#gloucester
paul sackey#wing#8 november 1979#10#wasps
james simpson - daniel#wing#30 may 1982#10#gloucester
david strettle#wing#23 july 1983#3#harlequins
lesley vainikolo#wing#4 may 1979#5#gloucester
iain balshaw#fullback#14 april 1979#30#gloucester
mark cueto#fullback#26 december 1979#24#sale
