name#club#age at debut#debut round#games (2008)#goals (2008)
jake edwards#carlton#20 years , 74 days#1#5#4
paul stewart#port adelaide#20 years , 254 days#1#11#1
trent west#geelong#20 years , 155 days#1#6#1
nathan brown#collingwood#19 years , 96 days#1#23#4
craig bird#sydney#19 years , 61 days#1#21#8
jarryn geary#st kilda#19 years , 273 days#1#10#0
david mackay#adelaide#19 years , 242 days#1#19#4
kurt tippett#adelaide#20 years , 320 days#1#19#17
cale morton#melbourne#18 years , 65 days#1#19#12
cyril rioli#hawthorn#18 years , 253 days#1#25#24
cameron stokes#hawthorn#18 years , 265 days#1#9#6
isaac weetra#melbourne#18 years , 25 days#1#2#0
scott thompson#north melbourne#21 years , 320 days#1#6#0
lachlan henderson#brisbane lions#18 years , 105 days#2#8#3
brad ebert#west coast#17 years , 362 days#2#15#5
chris masten#west coast#18 years , 332 days#2#9#1
chris mayne#fremantle#19 years , 148 days#2#17#10
rhys palmer#fremantle#19 years , 45 days#2#20#10
darren pfeiffer#carlton#20 years , 183 days#2#7#4
harry taylor#geelong#21 years , 292 days#2#21#3
scott selwood#west coast#18 years , 9 days#3#9#2
matthew kreuzer#carlton#18 years , 328 days#3#20#13
austin wonaeamirri#melbourne#19 years , 187 days#3#18#24
jack anthony#collingwood#20 years , 78 days#3#12#25
tayte pears#essendon#18 years , 18 days#4#5#2
ben ross#north melbourne#19 years , 204 days#4#3#2
matthew spangher#west coast#20 years , 355 days#4#7#1
nick smith#sydney#19 years , 312 days#5#2#1
clayton hinkley#fremantle#19 years , 58 days#5#5#2
jarrhan jacky#adelaide#19 years , 14 days#5#3#1
sharrod wellingham#collingwood#19 years , 293 days#6#12#4
shane mumford#geelong#21 years , 295 days#6#3#0
steven browne#carlton#19 years , 85 days#6#13#4
james polkinghorne#brisbane lions#19 years , 97 days#6#4#0
jesse white#sydney#20 years , 109 days#6#2#0
david ellard#carlton#19 years , 50 days#7#1#1
james sellar#adelaide#19 years , 40 days#7#1#0
josh smith#north melbourne#22 years , 59 days#7#2#0
jarrod atkinson#essendon#23 years , 73 days#7#5#2
darcy daniher#essendon#18 years , 226 days#7#3#0
david myers#essendon#18 years , 309 days#7#8#1
trent cotchin#richmond#18 years , 40 days#8#15#9
ryan davis#west coast#20 years , 355 days#8#11#4
alan obst#north melbourne#20 years , 364 days#8#3#0
shane valenti#melbourne#21 years , 110 days#8#9#3
tim houlihan#west coast#19 years , 104 days#9#8#0
beau wilkes#west coast#22 years , 65 days#9#14#1
josh kennedy#hawthorn#19 years , 340 days#9#3#0
jarryd morton#hawthorn#19 years , 233 days#9#8#0
dennis armfield#carlton#21 years , 161 days#10#9#2
gavin urquhart#north melbourne#20 years , 13 days#10#14#0
tom bellchambers#essendon#18 years , 334 days#11#3#0
james hawksley#brisbane lions#19 years , 124 days#11#4#0
callan ward#western bulldogs#18 years , 59 days#11#6#2
andy otten#adelaide#19 years , 30 days#12#2#0
brent renouf#hawthorn#20 years , 42 days#12#8#0
jarryd allen#st kilda#20 years , 158 days#13#4#0
robert eddy#st kilda#20 years , 165 days#13#13#3
ben mcevoy#st kilda#18 years , 354 days#13#1#0
tom collier#brisbane lions#19 years , 88 days#13#6#1
stefan martin#melbourne#21 years , 225 days#14#8#0
josh head#fremantle#25 years , 83 days#14#3#1
todd goldstein#north melbourne#20 years , 11 days#15#3#2
bradd dalziell#brisbane lions#21 years , 126 days#16#7#1
matthew o'dwyer#sydney#19 years , 365 days#16#2#1
addam maric#melbourne#18 years , 100 days#17#5#2
scott clouston#brisbane lions#21 years , 182 days#18#2#1
ryan brabazon#sydney#21 years , 221 days#18#1#0
patrick veszpremi#sydney#18 years , 337 days#18#6#9
mitchell farmer#port adelaide#19 years , 212 days#18#3#0
nick salter#port adelaide#21 years , 4 days#18#2#3
ryan williams#port adelaide#19 years , 304 days#19#2#0
chris dawes#collingwood#20 years , 85 days#19#6#5
john mccarthy#collingwood#18 years , 264 days#19#6#3
rhys magin#essendon#19 years , 159 days#19#4#2
matthew westhoff#port adelaide#20 years , 71 days#20#3#3
patrick dangerfield#adelaide#18 years , 133 days#20#2#0
tony notte#west coast#18 years , 123 days#20#2#0
cale hooker#essendon#19 years , 314 days#21#2#0
marlon motlop#port adelaide#18 years , 128 days#21#2#1
pearce hanley#brisbane lions#19 years , 282 days#21#2#0
sam reid#western bulldogs#18 years , 297 days#22#1#0
jack grimes#melbourne#19 years , 112 days#22#1#0
john williams#essendon#19 years , 328 days#22#1#0
