round#st kilda saints#opposition#their score#margin
1. (h)#6.15 (51)#sydney#6.13 (49)#2
2. (h)#19.11 (125)#carlton#12.13 (85)#40
3. (a)#13.9 (87)#western#19.11 (125)#38
4. (h)#13.16 (94)#geelong#21.10 (136)#42
5. (h)#18.15 (123)#essendon#14.3 (87)#36
6. (a)#9.7 (61)#port adelaide#12.10 (82)#21
7. (a)#17.8 (110)#richmond#16.11 (107)#3
8. (h)#14.10 (94)#collingwood#16.7 (103)#9
9. (a)#14.11 (95)#brisbane#21.15 (141)#46
10. (h)#19.15 (129)#melbourne#7.8 (50)#79
11. (h)#11.13 (79)#western#15.16 (106)#27
12. (a)#9.13 (67)#sydney#14.18 (102)#35
13. (h)#10.5 (65)#fremantle#8.9 (57)#8
14. (a)#12.12 (84)#north melbourne#9.15 (69)#15
15. (a)#18.11 (119)#carlton#12.15 (87)#32
16. (h)#18.11 (119)#hawthorn#13.11 (89)#30
17. (a)#12.14 (86)#west coast#15.13 (103)#17
18. (h)#14.17 (101)#port adelaide#14.9 (93)#8
19. (a)#12.11 (83)#collingwood#14.13 (97)#14
20. (a)#17.10 (112)#fremantle#9.15 (69)#43
21. (h)#13.17 (95)#adelaide#6.11 (47)#48
22. (a)#21.21 (147)#essendon#5.9 (39)#108
