pick#player#nationality#new wnba team#former wnba team#college / country / team
1#gordana grubin (g)#yugoslavia#indiana fever#los angeles sparks#yugoslavia
2#edna campbell (g)#united states#seattle storm#phoenix mercury#texas
3#kate starbird (g)#united states#miami sol#sacramento monarchs#stanford
4#alisa burras (f)#united states#portland fire#cleveland rockers#louisiana tech
5#sonja henning (g)#united states#portland fire#houston comets#stanford
6#sandy brondello (g)#united states#miami sol#detroit shock#australia
7#sophia witherspoon (g)#united states#seattle storm#new york liberty#florida
8#stephanie mccarthy (g)#united states#indiana fever#charlotte sting#purdue
9#nyree roberts (c)#united states#indiana fever#washington mystics#old dominion
10#angela aycock (f)#united states#seattle storm#minnesota lynx#kansas
11#debbie black (g)#united states#miami sol#utah starzz#st joseph 's
12#tari phillips (c)#united states#portland fire#orlando miracle#florida
13#coquese washington (g)#united states#portland fire#new york liberty#notre dame
14#sharon manning (f)#united states#miami sol#charlotte sting#north carolina state
15#nina bjedov (c)#yugoslavia#seattle storm#los angeles sparks#yugoslavia
16#rita williams (g)#united states#indiana fever#washington mystics#connecticut
17#kara wolters (c)#united states#indiana fever#houston comets#connecticut
18#toni foster (f)#united states#seattle storm#phoenix mercury#iowa
19#lesley brown (f)#united states#miami sol#detroit shock#virginia
20#molly goodenbour (g)#united states#portland fire#sacramento monarchs#stanford
21#jamila wideman (g)#united states#portland fire#cleveland rockers#stanford
22#yolando moore (f)#united states#miami sol#orlando miracle#mississippi
23#charmin smith (g)#united states#seattle storm#minnesota lynx#stanford
24#chantel tremitiere (g)#united states#indiana fever#utah starzz#auburn
