date#tournament#surface#opponent in the final#score
18 april 2006#melilla , spain#hard#komlavi loglo#6 - 2 , 6 - 3
19 june 2006#santa cruz de tenerife , spain#hard#albert ramos - viñolas#6 - 2 , 6 - 0
22 october 2007#rodez , france#hard#baptiste dupuy#6 - 1 , 6 - 2
12 november 2007#sunderland , united kingdom#hard#ken skupski#6 - 4 , 6 - 3
22 january 2008#sheffield , united kingdom#hard#timo nieminen#3 - 6 , 7 - 6 (8 - 6) , 6 - 2
15 september 2008#plaisir , france#hard#jean - christophe faurel#4 - 6 , 6 - 4 , 6 - 2
10 november 2008#jersey , united kingdom#hard#andreas beck#7 - 6 (7 - 4) , 7 - 6 (7 - 4)
15 august 2010#istanbul , turkey#hard#mikhail kukushkin#6 - 4 , 3 - 6 , 6 - 3
10 october 2010#mons , belgium#hard (i)#steve darcis#7 - 5 , 6 - 4
5 january 2013#nouméa , new caledonia#hard#andrej martin#6 - 4 , 6 - 3
17 march 2013#sarajevo , bosnia and herzegovina#hard (i)#dustin brown#7 - 6 (7 - 3) , 7 - 6 (7 - 2)
