no in series#no in season#title#directed by#written by#original air date
159#1#critical condition (part 3)#jeannot szwarc#charles holland#september 24 , 2002
160#2#the promised land#scott brazil#dana coen#october 1 , 2002
161#3#family business#bradford may#steven smith#october 8 , 2002
162#4#dangerous game#terrence o'hara#john chambers#october 15 , 2002
163#5#in thin air#harvey s laidman#don mcgill#october 22 , 2002
164#6#offensive action#dennis smith#lynnie greene & richard levine#october 29 , 2002
165#7#need to know#bradford may#philip deguere , jr#november 5 , 2002
166#8#ready or not#philip sgriccia#don mcgill#november 12 , 2002
167#9#when the bough breaks#richard compton#darcy meyers#november 19 , 2002
168#10#the killer#michael schultz#charles holland#november 26 , 2002
169#11#all ye faithful#kenneth johnson#dana coen#december 17 , 2002
170#12#complications#bradford may#paul levine#january 7 , 2003
171#13#standards of conduct#rod hardy#philip deguere , jr#january 21 , 2003
172#14#each of us angels#bradford may#darcy meyers#february 4 , 2003
173#15#friendly fire#kenneth johnson#paul levine#february 11 , 2003
174#16#heart and soul#bradford may#dana coen#february 18 , 2003
175#17#empty quiver#kenneth johnson#philip deguere , jr#february 25 , 2003
176#18#fortunate son#terrence o'hara#darcy meyers#march 18 , 2003
177#19#second acts#kenneth johnson#philip deguere , jr & don mcgill#april 1 , 2003
178#20#ice queen#donald p bellisario#donald p bellisario & don mcgill#april 22 , 2003
179#21#meltdown#scott brazil#donald p bellisario & don mcgill#april 29 , 2003
180#22#lawyers , guns , and money#bradford may#dana coen & stephen zito#may 6 , 2003
181#23#pas de deux#bradford may#dana coen & stephen zito#may 13 , 2003
