draw#language#artist#place#points
01#dutch#conny van den bos#11#5
02#english#kathy kirby#2#26
03#spanish#conchita bautista#15#0
04#english#butch moore#6#11
05#german#ulla wiesner#15#0
06#german#udo jürgens#4#16
07#norwegian#kirsti sparboe#13#1
08#dutch#lize marke#15#0
09#french#marjorie noël#9#7
10#english#ingvar wixell#10#6
11#french#guy mardel#3#22
12#portuguese#simone de oliveira#13#1
13#italian#bobby solo#5#15
14#danish#birgit brüel#7#10
15#french#france gall#1#32
16#finnish#viktor klimenko#15#0
17#croatian#vice vukov#12#2
18#french#yovanna#8#8
