position#jersey number#name v t e#height (cm)#weight (kg)#birthplace#1995 - 96 team
g#30#jim carey#188#86#dorchester , massachusetts#washington capitals
g#31#guy hebert#180#84#troy , new york#mighty ducks of anaheim
g#35#mike richter#180#86#abington , pennsylvania#new york rangers
d#28#shawn chambers#188#91#sterling heights , michigan#new jersey devils
d#7#chris chelios#180#87#chicago , illinois#chicago blackhawks
d#3#derian hatcher#196#107#sterling heights , michigan#dallas stars
d#4#kevin hatcher#191#105#detroit , michigan#dallas stars
d#6#phil housley#178#84#saint paul , minnesota#calgary flames
d#2#brian leetch - c#183#84#corpus christi , texas#new york rangers
d#5#mathieu schneider#180#92#new york , new york#toronto maple leafs
d#20#gary suter#183#93#madison , wisconsin#chicago blackhawks
lw#10#john leclair#191#107#st albans , vermont#philadelphia flyers
lw#14#shawn mceachern#180#88#waltham , massachusetts#boston bruins
lw#17#keith tkachuk#188#105#boston , massachusetts#winnipeg jets
c#18#adam deadmarsh#183#93#trail , british columbia#colorado avalanche
c#22#steve konowalchuk#185#88#salt lake city , utah#washington capitals
c#16#pat lafontaine#178#82#st louis , missouri#buffalo sabres
c#9#mike modano#191#95#livonia , michigan#dallas stars
c#29#joel otto#193#100#elk river , minnesota#philadelphia flyers
c#25#brian rolston#188#97#flint , michigan#new jersey devils
c#8#bryan smolinski#185#93#toledo , ohio#pittsburgh penguins
c#19#doug weight#180#89#warren , michigan#edmonton oilers
rw#11#tony amonte#183#92#hingham , massachusetts#chicago blackhawks
rw#12#bill guerin#188#100#wilbraham , massachusetts#new jersey devils
rw#15#brett hull#178#91#belleville , ontario#st louis blues
rw#21#scott young#183#86#clinton , massachusetts#colorado avalanche
