#urban live births#urban deaths#urban natural change#urban rude birth rate (per 1000)#urban rude death rate (per 1000)#urban natural change (per 1000)#rural live births#rural deaths#rural natural change#rural crude birth rate (per 1000)#rural crude death rate (per 1000)#rural natural change (per 1000)
1950#1171250#436792#734458#26.1#9.7#16.4#1574747#594218#980529#27.5#10.4#17.1
1960#1332812#436709#896103#20.4#6.7#13.7#1449541#449831#1000160#26.5#8.2#18.3
1970#1205207#646129#559078#14.8#7.9#6.9#698506#485054#213452#14.3#10.0#4.3
1980#1535723#970256#565467#15.8#10.0#5.8#667056#555499#111557#16.1#13.4#2.7
1990#1386247#1140613#245634#12.7#10.5#2.2#602611#515380#87231#15.5#13.2#2.3
1995#933460#1554182#- 620722#8.7#14.4#- 5.7#430346#649269#- 219283#10.9#16.5#- 5.6
2000#886908#1564034#- 677126#8.3#14.6#- 6.3#379892#661298#- 281406#9.8#17.1#- 7.3
2001#928642#1592254#- 663612#8.7#14.9#- 6.2#382962#662602#- 279640#10.0#17.3#- 7.3
2002#998056#1638822#- 640766#9.4#15.4#- 6.0#398911#693450#- 294539#10.5#18.2#- 7.7
2003#1050565#1657569#- 607004#9.9#15.6#- 5.7#426736#708257#- 281521#11.1#18.4#- 7.3
2004#1074247#1606894#- 532647#10.1#15.2#- 5.1#428230#688508#- 260278#11.2#18.1#- 6.9
2005#1036870#1595762#- 558892#9.8#15.1#- 5.3#420506#708173#- 287667#11.0#18.6#- 7.6
2006#1044540#1501245#- 456705#10.0#14.3#- 4.3#435097#665458#- 230361#11.4#17.4#- 6.0
2007#1120741#1445411#- 324670#10.7#13.8#- 3.1#489381#635034#- 145653#12.9#16.7#- 3.8
2008#1194820#1443529#- 248709#11.4#13.8#- 2.4#519127#632425#- 113298#13.7#16.7#- 3.0
2009#1237615#1397591#- 159976#11.8#13.3#- 1.5#524072#612952#- 88880#13.9#16.3#- 2.4
2010#1263893#1421734#- 157841#12.0#13.5#- 1.5#520055#606782#- 81727#14.0#16.1#- 2.1
2011#1270047#1356696#- 88649#12.0#12.8#- 0.8#526582#569024#- 42442#14.1#15.2#- 1.1
