res#record#opponent#method#event#round#time#location
loss#21 - 4 (1)#mark hunt#ko (punch)#ufc 127#2#1:41#sydney , australia
loss#21 - 3 (1)#brendan schaub#tko (punches)#ufc 116#1#1:07#las vegas , nevada , united states
win#21 - 2 (1)#tim hague#decision (majority)#ufc 109#3#5:00#las vegas , nevada , united states
loss#20 - 2 (1)#gabriel gonzaga#tko (punches)#ufc 102#1#2:27#portland , oregon , united states
win#20 - 1 (1)#jamie klair#tko (punches)#snmma : extreme beatdown#1#2:19#phoenix , arizona , united states
win#19 - 1 (1)#branden lee hinkle#tko (punches)#snmma : beatdown at 4 bears#4#4:43#new town , north dakota , united states
win#18 - 1 (1)#tony mendoza#submission (armbar)#max fights 4#1#2:43#north dakota , united states
loss#17 - 1 (1)#travis wiuff#decision (unanimous)#yamma pit fighting#3#5:00#atlantic city , new jersey , united states
win#17 - 0 (1)#alexey oleinik#decision (unanimous)#yamma pit fighting#1#5:00#atlantic city , new jersey , united states
win#16 - 0 (1)#tony sylvester#decision (unanimous)#yamma pit fighting#1#5:00#atlantic city , new jersey , united states
win#15 - 0 (1)#travis fulton#decision (unanimous)#max fights 2#3#5:00#fargo , north dakota , united states
win#14 - 0 (1)#jimmy ambriz#submission (rear naked choke)#extreme challenge 85#1#4:43#bismarck , north dakota , united states
win#13 - 0 (1)#matt eckerle#tko (punches)#dfc 9: dakota vs the world#1#2:17#grand forks , north dakota , united states
win#12 - 0 (1)#chuck grigsby#tko (punches)#dfc 8: proving grounds#1#3:49#fargo , north dakota , united states
win#11 - 0 (1)#demian decorah#tko (punches)#dfc 7: revolution#1#4:24#bismarck , north dakota , united states
nc#10 - 0 (1)#josh hendricks#no contest - overturned by commission#fightfest 2#1#n / a#canton , ohio , united states
win#10 - 0#ed myers#tko (punches)#royce gracie fightfest 1#1#1:05#evansville , indiana , united states
win#9 - 0#jim dobson#tko (punches)#dfc 5: legends of the falls#1#0:55#thief river falls , minnesota , united states
win#8 - 0#matt lafromboise#submission (punches)#nfa : last dam fights#1#1:44#fargo , north dakota , united states
win#7 - 0#chris clark#submission (punches)#dfc 4: nowhere to run#1#1:06#fargo , north dakota , united states
win#6 - 0#jason miller#submission (punches)#nfa : throwdown in jamestown 2#1#0:18#fargo , north dakota , united states
win#5 - 0#karl knothe#submission (rear - naked choke)#cage fighting xtreme 3#2#n / a#brainerd , minnesota , united states
win#4 - 0#marc zee#tko (punches)#dfc 3 - submission impossible#1#2:25#fargo , north dakota , united states
win#3 - 0#noah inhofer#tko (punches)#dfc 2 - reloaded#1#2:02#fargo , north dakota , united states
win#2 - 0#krzysztof soszynski#decision (unanimous)#nfa : title trials#3#3:00#moorhead , minnesota , united states
win#1 - 0#sean cooke#submission (choke)#dakota fighting championships 1#1#0:28#fargo , north dakota , united states
