date#visitor#score#home#leading scorer#attendance#record
1 december 2007#mavericks#w 112 - 108 (ot)#hornets#chris paul (33)#12223#12 - 6
5 december 2007#pistons#l 76 - 91 (ot)#hornets#peja stojakovic (19)#10312#12 - 7
7 december 2007#grizzlies#w 118 - 116 (ot)#hornets#chris paul (43)#10386#13 - 7
9 december 2007#supersonics#w 91 - 88 (ot)#hornets#chris paul (29)#10793#14 - 7
12 december 2007#hornets#l 99 - 105 (ot)#nuggets#chris paul (30)#13337#14 - 8
14 december 2007#hornets#l 80 - 89 (ot)#mavericks#chris paul (21)#20071#14 - 9
15 december 2007#suns#w 101 - 98 (ot)#hornets#two - way tie (21)#13705#15 - 9
17 december 2007#hornets#l 88 - 96 (ot)#trail blazers#david west (31)#15183#16 - 9
19 december 2007#hornets#w 107 - 93 (ot)#supersonics#morris peterson (25)#11968#17 - 9
22 december 2007#timberwolves#w 110 - 76 (ot)#hornets#david west (22)#11257#18 - 9
26 december 2007#hornets#w 116 - 98 (ot)#grizzlies#chris paul (40)#11189#19 - 9
28 december 2007#hornets#w 99 - 85 (ot)#bobcats#david west (20)#18237#20 - 9
29 december 2007#cavaliers#w 86 - 76 (ot)#hornets#david west (27)#17623#21 - 9
31 december 2007#raptors#l 92 - 97 (ot)#hornets#david west (33)#11444#21 - 10
