player#height#position#year born#current club
marco belinelli#1.96#guard#1986#golden state warriors
gianluca basile#1.95#guard#1975#axa fc barcelona
stefano mancinelli#2.03#forward#1983#climamio bologna
matteo soragna#1.97#guard#1975#benetton treviso
denis marconato#2.12#center#1975#axa fc barcelona
marco mordente#1.90#guard#1979#benetton treviso
andrea bargnani#2.12#forward#1985#toronto raptors
andrea crosariol#2.13#center#1984#vidivici bologna
massimo bulleri#1.87#guard#1977#armani jeans milano
fabio di bella#1.86#guard#1978#vidivici bologna
luigi datome#2.02#forward#1987#legea scafati
angelo gigli#2.10#center#1983#benetton treviso
