year#men 's singles#women 's singles#men 's doubles#women 's doubles#mixed doubles
1987#peter axelsson#nina sundberg#peter axelsson stefan axelsson#nina sundberg ulrica von pfaler#peter axelsson elrica von pfaler
1988#nicolas pissis#christine heatly#panayiottis poupas athos shiakallis#matilda kazantziak sophia kyprianou#andros kyprianou christine heatly
1989#vladimir serov#irina serova#vladimir serov vladimir smolin#tatyana arefyeva irina serova#vladimir serov irina serova
1990#stoyan ivanchev#diana filipova#ivan dobrev p stoyanov#diana filipova aneta stamboliiska#ivan dobrev diana dilipova
1991#tomasz mendrek#nelli nedjalkova#anatoliy skripko stoyan ivantchev#irina dimitrova nelli nedjalkova#attila nagy csilla forian
1992#rene valentin#mette andersen#rene valentin lars uhre#beate dejaco petra irsara#lars uhre mette andersen
1993#nicolas pissis#diana knekna#juraj brestovskã½ jaroslav heles#beate dejaco suzie carnevale#nicolas pissis diana knekna
1994#no competition#no competition#no competition#no competition#no competition
1995#klaus raffeiner#maria gr italiano#nicolas pissis antonis lazzarou#barbara faiazza maria gr italiano#luiggi izo silvie carnevalle
1996#rashad khakhan#diana knekna#yassen borissov lupen panov#diana knekna elena iasonos#bo wendel nina messman
1997#todor velkov#svetlana zilberman#paz ben - svi danny shneiderman#svetlana zilberman shirli daniel#leon pogatch svetlana zilberman
1998#konstantin dobrev#diana knekna#lars nielsen peter jensen#diana koleva raina tchvetkova#konstantin dobrev diana koleva
1999#theodoros velkos#petya nedeltcheva#theodoros velkos vassilios valkos#nina messman karin knudsen#peter jensen nina messman
2000#konstantin dobrev#margarita mladenova#luben panov constantin dobrev#diana dimova dobrinka smilianova#leon pougatch svetlana zilberman
2001#theodoros velkos#katarzyna krasowska#afshin bozorgzadeh ali shahhosseini#diana knekna maria ioannou#peter jensen maria ioannou
2002#georgi petrov#katarzyna krasowska#georgi petrov julian christov#diana knekna maria ioannou#julian christov diana dimova
2003#daniel damgaard#katarzyna krasowska#peter hasbak simon mollyhus#karina sorensen mette melcher#simon mollyhus karina sorensen
2004#petr koukal#filipa lamy#bruce topping mark topping#vania lega filipa lamy#nuno santos telma santos
2005#daniel damgaard#line isberg#daniel damgaard jesper hovgaard#line isberg mia nielsen#jesper hovgaard mia nielsen
2006#peter mikkelsen#anne marie pedersen#mikkel delbo larsen jacob chemnitz#weny rahmawati elodie eymard#svetoslav stoyanov elodie eymard
2007#chetan anand#kati tolmoff#christian larsen christian john skovgaard#jwala gutta shruti kurian#chetan anand jwala gutta
2008#kasper ipsen#camilla overgaard#magnus ingi helgason helgi johannesson#maria helsboel anne skelbaek#peter moerk maria helsboel
2009#simon maunoury#spela silvester#christopher bruun jensen morten t kronborg#anastasia chervyakova natalia perminova#henry tam donna haliday
2010#viktor axelsen#carolina marin#didit juang indrianto seiko wahyu kusdianto#romina gabdullina evgeniya kosetskaya#niclas nohr lena grebak
2011#emil holst#lianne tan#theis christiansen niclas nohr#tatjana bibik anastasia chervaykova#niclas nohr joan christiansen
2012#no competition#no competition#no competition#no competition#no competition
2013#scott evans#linda zechiri#joe morgan nic strange#sarah thomas carissa turner#oliver gwilt sarah thomas
