#average population#live births#deaths#natural change#crude birth rate (per 1000)#crude death rate (per 1000)#natural change (per 1000)#total fertility rate (tfr)
1970#32 240 827#1 006 645#258 589#748 056#31.2#8.0#23.2#4.53
1971#32 882 704#1 024 773#237 528#787 245#31.2#7.2#23.9#4.54
1972#33 505 406#952 780#210 071#742 709#28.4#6.3#22.2#4.12
1973#34 103 149#965 521#267 460#698 061#28.3#7.8#20.5#4.07
1974#34 692 266#922 823#248 807#674 016#26.6#7.2#19.4#3.77
1975#35 280 725#874 030#270 657#603 373#24.8#7.7#17.1#3.43
1976#35 848 523#796 331#266 857#529 474#22.2#7.4#14.8#3.00
1977#36 411 795#825 339#249 254#576 085#22.7#6.8#15.8#2.99
1978#36 969 185#750 728#252 298#498 430#20.3#6.8#13.5#2.64
1979#37 534 236#862 669#239 986#622 683#23.0#6.4#16.6#2.90
1980#38 123 775#862 835#277 284#585 551#22.6#7.3#15.4#2.82
1981#38 723 248#867 409#237 481#629 928#22.4#6.1#16.3#2.57
1982#39 326 352#848 312#245 767#602 545#21.6#6.2#15.3#2.39
1983#39 910 403#769 155#254 563#514 592#19.3#6.4#12.9#2.06
1984#40 405 956#674 793#236 445#438 348#16.7#5.9#10.8#1.74
1985#40 805 744#655 489#240 418#415 071#16.1#5.9#10.2#1.66
1986#41 213 674#636 019#239 256#396 763#15.4#5.8#9.6#1.58
1987#41 621 690#623 831#243 504#380 327#15.0#5.9#9.1#1.53
1988#42 031 247#633 092#235 779#397 313#15.1#5.6#9.5#1.55
1989#42 449 038#639 431#236 818#402 613#15.1#5.6#9.5#1.56
1990#42 869 283#649 738#241 616#408 122#15.2#5.6#9.5#1.57
1991#43 295 704#709 275#242 270#467 005#16.4#5.6#10.8#1.71
1992#43 747 962#730 678#236 162#494 516#16.7#5.4#11.3#1.76
1993#44 194 628#715 826#234 257#481 569#16.0#5.2#10.8#1.654
1994#44 641 540#721 185#242 439#478 746#16.0#5.4#10.6#1.656
1995#45 092 991#715 020#242 838#472 182#15.7#5.3#10.3#1.634
1996#45 524 681#691 226#241 149#450 077#15.0#5.2#9.8#1.574
1997#45 953 580#668 344#241 943#426 401#14.4#5.2#9.2#1.520
1998#46 286 503#634 790#243 193#391 597#13.6#5.2#8.4#1.448
1999#46 616 677#614 233#245 364#368 869#13.0#5.2#7.8#1.410
2000#47 008 111#634 501#246 163#388 838#13.3#5.2#8.2#1.467
2001#47 357 362#554 895#241 521#313 374#11.6#5.0#6.5#1.297
2002#47 622 179#492 111#245 317#246 794#10.2#5.1#5.1#1.166
2003#47 859 311#490 543#244 506#246 037#10.2#5.1#5.1#1.180
2004#48 039 415#472 761#244 217#228 544#9.8#5.0#4.7#1.154
2005#48 138 077#435 031#243 883#191 148#8.9#5.0#3.9#1.076
2006#48 371 946#448 153#242 266#205 887#9.2#5.0#4.2#1.123
2007#48 597 652#493 189#244 874#248 315#10.0#5.0#5.1#1.250
2008#48 948 698#465 892#246 113#219 779#9.4#5.0#4.4#1.192
2009#49 182 038#444 849#246 942#197 907#9.0#5.0#4.0#1.149
2010#49 410 366#470 171#255 405#214 766#9.4#5.1#4.3#1.226
2011#49 779 440#471 265#257 396#213 869#9.4#5.1#4.3#1.244
