round#pick#player#position#college
1#12#tony hunter#tight end#notre dame
1#14#jim kelly#quarterback#miami (fl)
2#39#darryl talley#linebacker#west virginia
4#93#trey junkin#linebacker#louisiana tech
4#112#jimmy payne#defensive end#georgia
5#126#matt vandenboom#defensive back#wisconsin
7#180#gurnest brown#defensive tackle#maryland
8#207#james durham#defensive back#houston
9#234#george parker#running back#norfolk state
10#260#richard tharpe#defensive tackle#louisville
11#293#larry white#defensive end#jackson state
12#320#julius dawkins#wide receiver#pittsburgh
