year#coach#captain#runner - up#score
2005#m w pitman#s ryan#freeling#kapunda 17 - 14 - 116 freeling 9 - 6 - 60
2004#m w pitman#s ryan#angaston#kapunda 21 - 16 - 142 angaston 11 - 9 - 75
1974#k e tucker#k e tucker#nuriootpa#kapunda 17 - 13 - 115 nuriootpa 10 - 12 - 72
1965#a baraglia#a baraglia#nuriootpa#kapunda 15 - 11 - 101 nuriootpa 12 - 13 - 85
1964#a baraglia#a baraglia#nuriootpa#kapunda 13 - 12 - 90 nuriootpa 8 - 11 - 59
1953#h c heffernan#v serotzki#nuriootpa#kapunda 11 - 9 - 75 nuriootpa 10 - 12 - 72
1952#h c heffernan#v serotzki#tanunda#kapunda 12 - 12 - 84 tanunda 9 - 9 - 63
1939#s jaffer#s jaffer#tanunda#kapunda 14 - 13 - 97 tanunda 5 - 14 - 44
1935#c palmer#t burgess#angaston#kapunda 7 - 7 - 49 angaston 6 - 8 - 44
1929#not listed#r burgess#angaston#kapunda 9 - 10 - 64 angaston 8 - 14 - 62
1928#dr a gunning#r burgess#angaston#kapunda 13 - 12 - 90 angaston 10 - 8 - 68
1927#not listed#h n burgess#angaston#kapunda 7 - 17 - 59 angaston 8 - 7 - 55
1923#not listed#p e williams#nuriootpa#kapunda 8 - 10 - 58 nuriootpa 6 - 13 - 49
1922#not listed#h n burgess#nuriootpa#kapunda 5 - 4 - 34 nuriootpa 3 - 6 - 24
1921#not listed#p e williams#angaston#kapunda 5 - 14 - 44 angaston 4 - 12 - 36
