#average population (x 1000)#live births#deaths#natural change#crude birth rate (per 1000)#crude death rate (per 1000)#natural change (per 1000)
1919#15 920#366 000#328 000#38 000#23.0#20.6#2.4
1920#16 010#539 000#415 000#124 000#33.7#25.9#7.8
1921#16 240#620 000#372 000#248 000#38.2#22.9#15.3
1922#16 500#614 000#376 000#238 000#37.2#22.8#14.4
1923#16 770#609 000#372 000#237 000#36.4#22.1#14.3
1924#16 990#623 000#383 000#240 000#36.7#22.5#14.2
1925#17 190#606 000#362 000#244 000#35.2#21.1#14.1
1926#17 460#608 000#373 000#235 000#34.8#21.4#13.4
1927#17 690#603 000#393 000#210 000#34.1#22.2#11.9
1928#17 970#624 000#352 000#272 000#34.7#19.6#15.1
1929#17 640#601 000#378 000#223 000#34.1#21.4#12.7
1930#17 870#625 000#347 000#278 000#35.0#19.4#15.6
1931#18 190#605 000#379 000#226 000#33.3#20.8#12.5
1932#18 427#662 000#399 000#263 000#35.9#21.7#14.2
1933#18 653#598 000#348 000#250 000#32.1#18.7#13.4
1934#18 914#612 416#390 668#221 748#32.4#20.7#11.7
1935#19 088#585 503#402 720#182 783#30.7#21.1#9.6
1936#19 319#608 906#382 179#226 727#31.5#19.8#11.7
1937#19 535#601 310#377 954#223 356#30.8#19.3#11.4
1938#19 750#585 423#379 445#205 978#29.6#19.2#10.4
