region#date#label#format#catalog
united states#june 17 , 1997#cargo music#cd#crgsd - 11624
united states#june 17 , 1997#cargo music / mca#cd#crgd - 11624
united states#june 17 , 1997#cargo music / mca#cd ( promo )#crg3p - 90054
united states#june 17 , 1997#grilled cheese#lp#grl - 004
united states#june 17 , 1997#mca#cd#111 624 - 2
united kingdom#june 17 , 1997#mca#cd#111 624 - 2
europe#june 17 , 1997#mca#cd#111 624 - 2
argentina#june 17 , 1997#universal music argentina#cd#111 624 - 2
australia#june 17 , 1997#rapido#cd#rap025
united states#january 12 , 2010#mightier than sword#lp#mts016
united states#january 12 , 2010#geffen / universal music special markets#lp#b0013811 - 01
