name#term#games#win%#pwin%
george red sullivan#1967 - 1969#150#393#-
red kelly#1969 - 1973#274#423#429
ken schinkel#1973 - 1974 , 1976 - 1977#203#478#-
marc boileau#1974 - 1976#151#517#555
johnny wilson#1977 - 1980#240#471#333
eddie johnston#1980 - 1983 , 1993 - 1997#516#508#478
lou angotti#1983 - 1984#80#232#-
bob berry#1984 - 1987#240#419#-
pierre creamer#1987 - 1988#80#506#-
gene ubriaco#1988 - 1989#106#514#636
craig patrick#1989 - 1990#74#453#200
bob johnson#1990 - 1991#80#550#667
scotty bowman#1991 - 1993#164#628#696
kevin constantine#1997 - 1999#189#511#421
herb brooks#1999 - 2000#57#570#545
ivan hlinka#2000 - 2001#86#558#500
rick kehoe#2001 - 2003#160#419#-
ed olczyk#2003 - 2005#113#274#-
michel therrien#2005 - 2009#272#502#600
dan bylsma#2009 - present#319#669#554
