name#founded#institution#location#status
alpha#1879#columbia university#new york city , ny , us#inactive , 2009
alpha beta#1899#university of minnesota#minneapolis / st paul , mn , us#inactive , 2007
alpha nu#1991#claremont colleges#claremont , ca , us#inactive , 2007
alpha omega#1984#villanova university#radnor township , pa , us#inactive , 1999
beta sigma#2007#university of georgia#athens , ga , us#inactive , 2008
gamma#1875#syracuse university#syracuse , ny , us#inactive , 2007
delta alpha#1990#university of colorado#boulder , co , us#inactive , 1996
delta kappa#2001#university of new brunswick#fredericton , nb , ca#inactive , 2004
epsilon#1852#brown university#providence , ri , us#inactive , 1986
zeta#1848#williams college#williamstown , ma , us#inactive , 1991
theta tau#1994#university of vermont#burlington , vt , us#inactive , 2002
iota delta#1981#university of california at davis#davis , ca , us#inactive , 1998
lambda#1867#bowdoin college#brunswick , me , us#inactive , 1991
mu#1892#stanford university#stanford , ca , us#inactive , 1998
mu alpha#1999#texas tech university#lubbock , tx , us#inactive , 2003
omicron sigma#1962#oregon state university#corvallis , or , us#inactive , 1971
rho#1956#middlebury college#middlebury , vt , us#inactive , 1987
rho epsilon#1852#harvard university#cambridge , ma , us#inactive , 1998
sigma zeta#1924#university of california , los angeles#los angeles , ca , us#inactive , 2009
tau alpha#1992#texas a&m university#college station , tx , us#inactive , 1998
tau delta#1973#lehigh university#bethlehem , pa , us#inactive , 2002
upsilon mu#1975#university of massachusetts#amherst , ma , us#inactive , 2009
chi#1850#colby college#waterville , me , us#inactive , 1989
chi gamma#1967#university of calgary#calgary , ab , ca#inactive , 2007
psi zeta#1979#ohio state university#columbus , oh , us#inactive , 1984
psi kappa#1996#university of southern california#los angeles , ca , us#inactive , 1998
omega#1947#northwestern university#evanston , il , us#inactive , 1993
