song title#artist#year#genre#single / pack name#release date#family friendly#additional rock band 3 features
gimme three steps#lynyrd skynyrd#1973#southern rock#single#jan.1 , 2008#yes#none
hard to handle#the black crowes#1990#rock#single#jan.1 , 2008#yes#none
limelight#rush#1981#prog#single#jan.1 , 2008#yes#none
die , all right!#the hives#2000#punk#single#jan.8 , 2008#no#none
interstate love song#stone temple pilots#1994#rock#single#jan.8 , 2008#yes#none
the number of the beast#iron maiden#1980s#metal#single#jan.8 , 2008#no#none
action#sweet#1976#glam#single#jan.15 , 2008#no#none
last train to clarksville#the monkees#1966#pop - rock#single#jan.15 , 2008#yes#none
all the small things#blink - 182#1999#punk#single#jan.15 , 2008#yes#none
don't look back in anger#oasis#1995#rock#oasis 01#jan.22 , 2008#yes#none
live forever#oasis#1994#rock#oasis 01#jan.22 , 2008#yes#none
wonderwall#oasis#1995#rock#oasis 01#jan.22 , 2008#yes#none
siva#smashing pumpkins#1991#alternative#single#jan.29 , 2008#yes#none
working man#rush#1974#prog#single#jan.29 , 2008#no#none
ten speed (of god 's blood and burial)#coheed and cambria#2005#prog#single#jan.29 , 2008#no#none
roam#the b - 52 's#1989#pop - rock#single#feb.5 , 2008#yes#none
we care a lot#faith no more#1987#rock#single#feb.5 , 2008#no#none
calling dr. love#kiss#1976#classic rock#single#feb.5 , 2008#no#none
complete control#the clash#1977#punk#(arguably) punk 02#feb.11 , 2008#no#none
truth hits everybody#the police#1978#rock#(arguably) punk 02#feb.11 , 2008#no#none
teenage lobotomy#ramones#1977#punk#(arguably) punk 02#feb.11 , 2008#yes#none
sex type thing#stone temple pilots#1992#alternative#single#feb.19 , 2008#no#none
el scorcho#weezer#1996#alternative#single#feb.19 , 2008#no#none
why do you love me#garbage#2005#pop - rock#single#feb.19 , 2008#no#none
march of the pigs#nine inch nails#1994#rock#nine inch nails 01#feb.26 , 2008#no#none
the collector#nine inch nails#2005#rock#nine inch nails 01#feb.26 , 2008#no#none
the perfect drug#nine inch nails#1997#rock#nine inch nails 01#feb.26 , 2008#no#none
china cat sunflower#grateful dead#1969#classic rock#grateful dead 01#mar.4 , 2008#yes#none
casey jones#grateful dead#1970#classic rock#grateful dead 01#mar.4 , 2008#no#none
sugar magnolia#grateful dead#1970#classic rock#grateful dead 01#mar.4 , 2008#yes#none
truckin'#grateful dead#1970#classic rock#grateful dead 01#mar.4 , 2008#no#none
franklin 's tower#grateful dead#1975#classic rock#grateful dead 01#mar.4 , 2008#no#none
i need a miracle#grateful dead#1978#classic rock#grateful dead 01#mar.4 , 2008#yes#none
crushcrushcrush#paramore#2007#pop - rock#single#mar.11 , 2008#yes#none
beethoven 's c#serj tankian#2007#rock#single#mar.11 , 2008#no#none
shockwave#black tide#2008#metal#single#mar.11 , 2008#no#none
blinded by fear#at the gates#1995#metal#earache thrash 01#mar.18 , 2008#no#none
d.o.a.#the haunted#2003#metal#earache thrash 01#mar.18 , 2008#no#none
thrasher#evile#2007#metal#earache thrash 01#mar.18 , 2008#no#none
peace of mind#boston#1970s#classic rock#boston 01#mar.25 , 2008#yes#none
more than a feeling#boston#1970s#classic rock#boston 01#mar.25 , 2008#yes#pro guitar / bass
smokin'#boston#1970s#classic rock#boston 01#mar.25 , 2008#no#none
rock and roll band#boston#1970s#classic rock#boston 01#mar.25 , 2008#yes#none
something about you#boston#1970s#classic rock#boston 01#mar.25 , 2008#yes#none
hitch a ride#boston#1970s#classic rock#boston 01#mar.25 , 2008#yes#none
still alive#glados#2007#pop - rock#single#apr.1 , 2008#yes#none
rock rebellion#bang camaro#2007#rock#harmonix 01#apr.8 , 2008#yes#none
shake#count zero#2008#rock#harmonix 01#apr.8 , 2008#no#none
sprode#freezepop#2003#pop - rock#harmonix 01#apr.8 , 2008#yes#none
simple man#lynyrd skynyrd#1973#southern rock#classic rock 01#apr.15 , 2008#yes#pro guitar / bass
message in a bottle#the police#1979#rock#classic rock 01#apr.15 , 2008#yes#none
call me#blondie#1981#pop - rock#classic rock 01#apr.15 , 2008#yes#none
saints of los angeles#mötley crüe#2008#rock#single#apr.15 , 2008#no#none
the hellion / electric eye#judas priest#1982#metal#screaming for vengeance#apr.22 , 2008#no#none
riding on the wind#judas priest#1982#metal#screaming for vengeance#apr.22 , 2008#no#none
bloodstone#judas priest#1982#metal#screaming for vengeance#apr.22 , 2008#yes#none
(take these) chains#judas priest#1982#metal#screaming for vengeance#apr.22 , 2008#yes#none
pain and pleasure#judas priest#1982#metal#screaming for vengeance#apr.22 , 2008#no#none
screaming for vengeance#judas priest#1982#metal#screaming for vengeance#apr.22 , 2008#no#none
you've got another thing comin'#judas priest#1982#metal#screaming for vengeance#apr.22 , 2008#no#none
fever#judas priest#1982#metal#screaming for vengeance#apr.22 , 2008#no#none
devil 's child#judas priest#1982#metal#screaming for vengeance#apr.22 , 2008#no#none
red tandy#the mother hips#2005#rock#single#apr.29 , 2008#yes#none
time - sick son of a grizzly bear#the mother hips#2007#rock#single#apr.29 , 2008#yes#none
zero#smashing pumpkins#1995#alternative#single#apr.29 , 2008#no#none
this ain't a scene , it 's an arms race#fall out boy#2007#pop - rock#scene 01#may 6 , 2008#no#none
date with the night#yeah yeah yeahs#2003#rock#scene 01#may 6 , 2008#no#none
it hurts#angels & airwaves#2006#alternative#scene 01#may 6 , 2008#no#none
hanging on the telephone#blondie#1978#pop - rock#single#may 13 , 2008#yes#none
train in vain (stand by me)#the clash#1979#punk#single#may 13 , 2008#yes#none
kool thing#sonic youth#1990#alternative#single#may 13 , 2008#yes#none
beetlebum#blur#1997#alternative#single#may 20 , 2008#no#none
countdown to insanity#h - blockx#2007#rock#single#may 20 , 2008#no#none
hier kommt alex#toten hosen die toten hosen#1988#punk#single#may 20 , 2008#no#none
hysteria#muse#2003#alternative#single#may 20 , 2008#yes#none
manu chao#wampas les wampas#2003#punk#single#may 20 , 2008#no#none
monsoon#tokio hotel#2005#glam#single#may 20 , 2008#yes#none
new wave#pleymo#2002#metal#single#may 20 , 2008#no#none
perfekte welle#juli#2000s#rock#single#may 20 , 2008#no#none
rock 'n' roll star#oasis#1994#rock#single#may 20 , 2008#yes#none
good times roll#the cars#1978#rock#the cars#may 27 , 2008#yes#none
my best friend 's girl#the cars#1978#rock#the cars#may 27 , 2008#yes#none
just what i needed#the cars#1978#rock#the cars#may 27 , 2008#yes#none
i'm in touch with your world#the cars#1978#rock#the cars#may 27 , 2008#yes#none
don't cha stop#the cars#1978#rock#the cars#may 27 , 2008#no#none
you 're all i've got tonight#the cars#1978#rock#the cars#may 27 , 2008#yes#none
bye bye love#the cars#1978#rock#the cars#may 27 , 2008#yes#none
moving in stereo#the cars#1978#rock#the cars#may 27 , 2008#yes#none
all mixed up#the cars#1978#rock#the cars#may 27 , 2008#yes#none
indestructible#disturbed#2008#nu - metal#disturbed 01#june 3 , 2008#no#none
inside the fire#disturbed#2008#nu - metal#disturbed 01#june 3 , 2008#no#none
perfect insanity#disturbed#2008#nu - metal#disturbed 01#june 3 , 2008#no#none
cheeseburger in paradise#jimmy buffett#1978#rock#jimmy buffett 01#june 3 , 2008#no#none
margaritaville#jimmy buffett#1977#rock#jimmy buffett 01#june 3 , 2008#no#none
volcano#jimmy buffett#1979#rock#jimmy buffett 01#june 3 , 2008#no#none
moving to seattle#the material#2007#alternative#mtv2 01#june 10 , 2008#yes#none
a clean shot#the myriad#2008#alternative#mtv2 01#june 10 , 2008#no#none
bullets & guns#them terribles#2007#alternative#mtv2 01#june 10 , 2008#no#none
girls who play guitars#maxïmo park#2007#pop - rock#single#june 10 , 2008#no#none
critical acclaim#avenged sevenfold#2007#metal#single#june 17 , 2008#no#none
afterlife#avenged sevenfold#2007#metal#single#june 17 , 2008#no#none
hammerhead#the offspring#2008#rock#single#june 17 , 2008#no#none
rock n' roll dream#crooked x#2008#rock#single#june 17 , 2008#yes#none
debaser#pixies#1989#alternative#doolittle#june 24 , 2008#no#none
tame#pixies#1989#alternative#doolittle#june 24 , 2008#yes#none
i bleed#pixies#1989#alternative#doolittle#june 24 , 2008#no#none
here comes your man#pixies#1989#alternative#doolittle#june 24 , 2008#yes#none
dead#pixies#1989#alternative#doolittle#june 24 , 2008#no#none
monkey gone to heaven#pixies#1989#alternative#doolittle#june 24 , 2008#no#none
mr. grieves#pixies#1989#alternative#doolittle#june 24 , 2008#yes#none
crackity jones#pixies#1989#alternative#doolittle#june 24 , 2008#yes#none
la la love you#pixies#1989#alternative#doolittle#june 24 , 2008#yes#none
no. 13 baby#pixies#1989#alternative#doolittle#june 24 , 2008#no#none
there goes my gun#pixies#1989#alternative#doolittle#june 24 , 2008#yes#none
hey#pixies#1989#alternative#doolittle#june 24 , 2008#no#none
silver#pixies#1989#alternative#doolittle#june 24 , 2008#yes#none
gouge away#pixies#1989#alternative#doolittle#june 24 , 2008#no#none
dreamin'#weezer#2008#alternative#weezer 01#june 24 , 2008#yes#none
the greatest man that ever lived#weezer#2008#alternative#weezer 01#june 24 , 2008#no#none
troublemaker#weezer#2008#alternative#weezer 01#june 24 , 2008#no#none
down at the whisky#mötley crüe#2008#metal#crüe fest 01#july 1 , 2008#no#none
time is running out#papa roach#2006#alternative#crüe fest 01#july 1 , 2008#yes#none
who 's going home with you tonight?#trapt#2008#nu - metal#crüe fest 01#july 1 , 2008#yes#none
promised land#vesuvius#2008#rock#single#july 1 , 2008#no#none
snow ((hey oh))#red hot chili peppers#2006#rock#single#july 8 , 2008#no#none
tell me baby#red hot chili peppers#2006#rock#single#july 8 , 2008#no#none
closer to the heart#rush#1977#prog#single#july 8 , 2008#yes#none
working man (vault edition)#rush#1974#prog#single#july 8 , 2008#no#none
amazing journey#the who#1969#classic rock#the best of the who (rock band edition)#july 15 , 2008#yes#none
baba o'riley#the who#1971#classic rock#the best of the who (rock band edition)#july 15 , 2008#yes#none
behind blue eyes#the who#1971#classic rock#the best of the who (rock band edition)#july 15 , 2008#yes#none
eminence front#the who#1982#classic rock#the best of the who (rock band edition)#july 15 , 2008#yes#none
going mobile#the who#1971#classic rock#the best of the who (rock band edition)#july 15 , 2008#yes#none
leaving here#the who#1965#classic rock#the best of the who (rock band edition)#july 15 , 2008#yes#none
my generation ( live at leeds )#the who#1970#classic rock#the best of the who (rock band edition)#july 15 , 2008#yes#none
real good looking boy#the who#2004#classic rock#the best of the who (rock band edition)#july 15 , 2008#no#none
sea and sand#the who#1973#classic rock#the best of the who (rock band edition)#july 15 , 2008#no#none
summertime blues ( live at leeds )#the who#1970#classic rock#the best of the who (rock band edition)#july 15 , 2008#yes#none
who are you#the who#1978#classic rock#the best of the who (rock band edition)#july 15 , 2008#no#none
young man blues ( live at leeds )#the who#1970#classic rock#the best of the who (rock band edition)#july 15 , 2008#no#none
burn#nine inch nails#1994#rock#nine inch nails 02#july 22 , 2008#no#none
capital g#nine inch nails#2007#rock#nine inch nails 02#july 22 , 2008#no#none
last#nine inch nails#1992#rock#nine inch nails 02#july 22 , 2008#no#none
devour#shinedown#2008#nu - metal#single#july 22 , 2008#yes#none
junkies for fame#shinedown#2008#nu - metal#single#july 22 , 2008#no#none
they say#scars on broadway#2008#rock#single#july 29 , 2008#no#none
this is it#staind#2008#nu - metal#single#july 29 , 2008#yes#none
electric crown#testament#1992#metal#single#july 29 , 2008#yes#none
yomp#thenewno2#2008#pop - rock#single#july 29 , 2008#yes#none
toxicity#system of a down#2002#metal#single#aug.5 , 2008#yes#none
b.y.o.b.#system of a down#2005#alternative#single#aug.5 , 2008#no#none
face down in the dirt#mötley crüe#2008#rock#crüe fest 02#aug.5 , 2008#no#none
rescue me#buckcherry#2008#rock#crüe fest 02#aug.5 , 2008#yes#none
life is beautiful#sixx : a.m#2007#rock#crüe fest 02#aug.5 , 2008#no#none
aesthetics of hate#machine head#2007#metal#roadrunner records 01#aug.12 , 2008#no#none
clouds over california#devildriver#2007#metal#roadrunner records 01#aug.12 , 2008#yes#none
constant motion#dream theater#2007#metal#roadrunner records 01#aug.12 , 2008#yes#none
my curse#killswitch engage#2006#metal#roadrunner records 01#aug.12 , 2008#yes#none
sleepwalker#megadeth#2007#metal#roadrunner records 01#aug.12 , 2008#no#none
runnin' wild#airbourne#2007#rock#single#aug.12 , 2008#no#none
girl u want (rock band re - record)#devo#1980#new wave#single#aug.19 , 2008#yes#none
through being cool (rock band re - record)#devo#1981#new wave#single#aug.19 , 2008#yes#none
rio#duran duran#1982#pop - rock#single#aug.19 , 2008#yes#none
girls on film#duran duran#1981#pop - rock#single#aug.19 , 2008#yes#none
get your rock on#the janitors#2008#pop - rock#single#aug.19 , 2008#yes#none
all over again#locksley#2007#pop - rock#locksley 01#aug.28 , 2008#yes#none
she does#locksley#2007#pop - rock#locksley 01#aug.28 , 2008#yes#none
don't make me wait#locksley#2007#pop - rock#locksley 01#aug.28 , 2008#yes#none
skullcrusher mountain#jonathan coulton#2004#pop - rock#the pax 2008 collection#sep.2 , 2008#yes#none
livin' at the corner of dude & catastrophe#mc frontalot feat. brad sucks#2007#other#the pax 2008 collection#sep.2 , 2008#no#none
shhh#the darkest of the hillside thickets#2008#rock#the pax 2008 collection#sep.2 , 2008#no#none
this calling#all that remains#2006#metal#all that remains 01#sep.9 , 2008#yes#none
chiron#all that remains#2008#metal#all that remains 01#sep.9 , 2008#yes#none
two weeks#all that remains#2008#metal#all that remains 01#sep.9 , 2008#yes#none
charlene (i'm right behind you)#stephen and the colberts#1986#pop - rock#single#sep.11 , 2008#yes#none
one of those nights#the cab#2008#pop - rock#rock band live 2008 tour 01#sep.16 , 2008#yes#none
hands down#dashboard confessional#2003#pop - rock#rock band live 2008 tour 01#sep.16 , 2008#no#none
she 's a handsome woman#panic at the disco#2008#pop - rock#rock band live 2008 tour 01#sep.16 , 2008#yes#none
natural disaster#plain white t 's#2008#pop - rock#rock band live 2008 tour 01#sep.16 , 2008#no#none
wake up dead#megadeth#1986#metal#peace sells... but who 's buying?#sep.16 , 2008#no#none
the conjuring#megadeth#1986#metal#peace sells... but who 's buying?#sep.16 , 2008#no#none
devil 's island#megadeth#1986#metal#peace sells... but who 's buying?#sep.16 , 2008#no#none
good mourning / black friday#megadeth#1986#metal#peace sells... but who 's buying?#sep.16 , 2008#no#none
bad omen#megadeth#1986#metal#peace sells... but who 's buying?#sep.16 , 2008#no#none
i ain't superstitious#megadeth#1986#metal#peace sells... but who 's buying?#sep.16 , 2008#no#none
my last words#megadeth#1986#metal#peace sells... but who 's buying?#sep.16 , 2008#no#none
tom sawyer (original version)#rush#1981#prog#moving pictures#sep.23 , 2008#yes#none
red barchetta#rush#1981#prog#moving pictures#sep.23 , 2008#yes#none
yyz#rush#1981#prog#moving pictures#sep.23 , 2008#yes#none
limelight (original version)#rush#1981#prog#moving pictures#sep.23 , 2008#yes#none
the camera eye#rush#1981#prog#moving pictures#sep.23 , 2008#yes#none
witch hunt (part iii of fear)#rush#1981#prog#moving pictures#sep.23 , 2008#yes#none
vital signs#rush#1981#prog#moving pictures#sep.23 , 2008#yes#none
sorrow#bad religion#2002#punk#single#sep.23 , 2008#no#none
she sells sanctuary#the cult#1985#rock#single#sep.23 , 2008#yes#none
bandages#hot hot heat#2002#alternative#single#sep.23 , 2008#no#none
shoot the runner#kasabian#2006#alternative#single#sep.23 , 2008#no#none
you 're no rock n roll fun#sleater - kinney#2000#alternative#single#sep.23 , 2008#no#none
love spreads#the stone roses#1994#alternative#single#sep.23 , 2008#no#none
