date#visitor#score#home#leading scorer#attendance#record
2 january 2008#warriors#99 - 121#mavericks#dirk nowitzki (29)#20172#21 - 11
4 january 2008#heat#89 - 94#mavericks#dirk nowitzki (24)#20357#22 - 11
6 january 2008#mavericks#101 - 78#timberwolves#dirk nowitzki (30)#17644#23 - 11
9 january 2008#pistons#86 - 102#mavericks#dirk nowitzki (23)#20362#24 - 11
11 january 2008#mavericks#90 - 70#supersonics#dirk nowitzki (20)#12522#25 - 11
12 january 2008#mavericks#95 - 94#clippers#dirk nowitzki (22)#16494#26 - 11
14 january 2008#mavericks#120 - 122#kings#two - way tie (25)#14077#26 - 12
19 january 2008#supersonics#96 - 111#mavericks#dirk nowitzki (20)#20386#27 - 12
21 january 2008#mavericks#84 - 102#wizards#josh howard (32)#20173#27 - 13
23 january 2008#mavericks#102 - 95#bobcats#devin harris (23)#13764#28 - 13
25 january 2008#lakers#105 - 112#mavericks#two - way tie (26)#20438#29 - 13
27 january 2008#nuggets#85 - 90#mavericks#dirk nowitzki (32)#20437#30 - 13
28 january 2008#mavericks#103 - 84#grizzlies#josh howard (26)#11672#31 - 13
31 january 2008#mavericks#90 - 96#celtics#dirk nowitzki (31)#18624#31 - 14
