season#team name#games#losses#points
1965#coquitlam adanacs#30#18#24
1966#coquitlam adanacs#30#11#38
1967#coquitlam adanacs#30#15#29
1968#portland adanacs#38#14#48
1969#coquitlam adanacs#29#3#52
1970#coquitlam adanacs#30#16#28
1971#coquitlam adanacs#31#12#37
1972#coquitlam adanacs#36#23#18
1973#coquitlam adanacs#25#9#32
1974#coquitlam adanacs#24#15#17
1975#coquitlam adanacs#24#16#16
1976#coquitlam adanacs#24#15#18
1977#coquitlam adanacs#24#13#22
1978#coquitlam adanacs#24#13#21
1979#coquitlam adanacs#30#12#35
1980#coquitlam adanacs#24#9#30
1981#coquitlam adanacs#24#7#34
1982#coquitlam adanacs#24#16#16
1983#coquitlam adanacs#24#14#20
1984#coquitlam adanacs#24#14#20
1985#coquitlam adanacs#24#10#28
1986#coquitlam adanacs#24#14#20
1987#coquitlam adanacs#24#11#26
1988#coquitlam adanacs#24#11#26
1989#coquitlam adanacs#24#13#22
1990#coquitlam adanacs#24#18#12
1991#coquitlam adanacs#24#6#36
1992#coquitlam adanacs#24#14#20
1993#coquitlam adanacs#23#6#34
1994#coquitlam adanacs#20#7#26
1995#coquitlam adanacs#25#11#25
1996#coquitlam adanacs#20#15#10
1997#coquitlam adanacs#20#10#19
1998#coquitlam adanacs#25#9#31
1999#coquitlam adanacs#25#7#36
2000#coquitlam adanacs#25#11#28
2001#coquitlam adanacs#20#8#24
2002#coquitlam adanacs#20#6#27
2003#coquitlam adanacs#20#3#34
2004#coquitlam adanacs#20#9#22
2005#coquitlam adanacs#18#4#27
2006#coquitlam adanacs#18#6#23
2007#coquitlam adanacs#18#7#20
2008#coquitlam adanacs#18#3#28
2009#coquitlam adanacs#18#9#18
total#45 seasons#1094#493#1177
