driver#constructor#laps#time / retired#grid
jackie stewart#brm#100#2:33:10.5#3
lorenzo bandini#ferrari#100#+ 40.2#5
graham hill#brm#99#+ 1 lap#4
bob bondurant#brm#95#+ 5 laps#16
richie ginther#cooper - maserati#80#transmission#9
guy ligier#cooper - maserati#75#not classified#15
jo bonnier#cooper - maserati#73#not classified#16
jim clark#lotus - climax#60#suspension#1
jochen rindt#cooper - maserati#56#engine#7
jo siffert#brabham - brm#35#clutch#13
mike spence#lotus - brm#34#suspension#12
jack brabham#brabham - repco#17#gearbox#11
john surtees#ferrari#16#transmission#2
denny hulme#brabham - climax#15#transmission#6
bruce mclaren#mclaren - ford#9#oil leak#10
bob anderson#brabham - climax#3#engine#8
