res#record#opponent#method#event#round#time#location
win#19 - 15#elton rodrigues#tko (punches)#warriors of god#1#1:37#uberlandia , minas gerais , brazil
loss#18 - 15#jordan mein#tko (elbows)#strikeforce : barnett vs kharitonov#3#3:18#cincinnati , ohio , united states
loss#18 - 14#nick diaz#submission (armbar)#strikeforce : diaz vs cyborg#2#4:50#san jose , california , united states
win#18 - 13#marius žaromskis#tko (punches)#strikeforce : los angeles#1#2:38#los angeles , california , united states
win#17 - 13#daniel zarate#tko (head kick and punches)#samurai fight combat 2#1#1:41#curitiba , brazil
loss#16 - 13#joey villasenor#decision (split)#strikeforce challengers : villasenor vs cyborg#3#5:00#kent , washington , united states
loss#16 - 12#siyar bahadurzada#tko (arm injury)#world victory road presents : sengoku 5#1#0:35#tokyo , japan
win#16 - 11#makoto takimoto#submission (achilles lock)#world victory road presents : sengoku 1#1#4:51#tokyo , japan
loss#15 - 11#gegard mousasi#tko (punches)#hcf : destiny#1#3:42#calgary , canada
loss#15 - 10#james zikic#decision (unanimous)#cage rage 21#5#5:00#london , england
win#15 - 9#yosuke nishijima#submission (rear - naked choke)#pride final conflict absolute#1#3:24#saitama , japan
loss#14 - 9#kazuhiro nakamura#submission (keylock)#pride critical countdown absolute#1#4:49#saitama , japan
win#14 - 8#francis carmont#decision (majority)#wfc : europe vs brazil#3#5:00#koper , slovenia
win#13 - 8#roberto godoi#decision (unanimous)#show fight 4#3#5:00#são paulo , brazil
loss#12 - 8#melvin manhoef#ko (punches)#cage rage 15#2#3:51#london , england
win#12 - 7#michal materla#ko (punches)#jungle fight 5#2#2:03#manaus , brazil
win#11 - 7#darren little#tko (corner stoppage)#cage rage 13 : no fear#1#0:55#london , england
win#10 - 7#kassim annan#submission (stomps and soccer kicks)#meca world vale tudo 12#1#3:43#rio de janeiro , brazil
win#9 - 7#mark epstein#tko (punches)#cage rage 11 : face off#1#2:16#london , england
loss#8 - 7#antony rea#tko (punches)#cage rage 10: deliverance#2#1:55#london , england
loss#8 - 6#yuki kondo#decision (unanimous)#pancrase : brave 10#3#5:00#tokyo , japan
loss#8 - 5#claudio godoi#tko (punches)#conquista fight 1#3#2:23#bahia , brazil
win#8 - 4#lucas lopes#tko (punches and leg kick)#jungle fight 1#2#4:08#manaus , brazil
loss#7 - 4#mauricio rua#tko (punches)#meca world vale tudo 9#1#8:12#rio de janeiro , brazil
win#7 - 3#gabriel santos#ko (knee)#k - nock#1#1:01#rio de janiero , brazil
win#6 - 3#osami shibuya#ko (punch)#pancrase : hybrid 5#1#1:20#yokohama , japan
win#5 - 3#silvio de souza#ko (punch)#meca world vale tudo 7#1#0:10#curitiba , brazil
loss#4 - 3#angelo araujo#tko (punches)#ivc 14: usa vs brazil#1#8:46#caracas , venezuela
win#4 - 2#jefferson silva#ko (punch)#ivc 14: usa vs brazil#1#2:28#caracas , venezuela
win#3 - 2#aaron sullivan#tko (punches)#ivc 14: usa vs brazil#1#0:13#caracas , venezuela
loss#2 - 2#jorge magalhaes#decision (unanimous)#heroes 2#1#12:00#rio de janiero , brazil
loss#2 - 1#jose landi - jons#tko (punches)#bvf 8: campeonato brasileiro de vale tudo 2#1#8:18#brazil
win#2 - 0#adriano verdelli#submission (punches)#bvf 8: campeonato brasileiro de vale tudo 2#1#1:56#brazil
win#1 - 0#roberto pereira#submission (rear - naked choke)#bvf 8: campeonato brasileiro de vale tudo 2#1#2:37#brazil
