administrative division#area (km square) 2011#population 2001 census (adjusted)#population 2011 census (adjusted)#population density ( / km square 2011)
dhaka district#1463.6#9036647#12517361#8552.4
savar upazila#282.11#629695#1442885#5114.6
keraniganj upazila#166.82#649373#824538#4942.68
narayanganj district#684.37#2300514#3074078#4491.8
narayanganj sadar upazila#100.74#946205#1381796#13716.5
bandar upazila#54.39#267021#327149#6014.8
rupganj upazila#176.48#423135#558192#3162.9
gazipur district#1806.36#2143200#3548115#1964.2
gazipur sadar upazila#457.67#925454#1899575#4150.5
kaliakair upazila#314.13#278967#503976#1604.3
narsingdi district#1150.14#1983499#2314899#2012.7
narsingdi sadar upazila#213.43#606474#737362#3454.8
palash upazila#94.43#198106#221979#2350.7
