game#october#opponent#score#location / attendance#record#points
1#8#dallas stars#3 - 4 (ot)#prudential center - 17625#0 - 0 - 1#1
2#9#washington capitals#2 - 7#verizon center - 18398#0 - 1 - 1#1
3#11#pittsburgh penguins#1 - 3#prudential center - 12880#0 - 2 - 1#1
4#13#buffalo sabres#1 - 0 (ot)#hsbc arena - 18690#1 - 2 - 1#3
5#15#colorado avalanche#2 - 3#prudential center - 12221#1 - 3 - 1#3
6#16#boston bruins#1 - 4#prudential center - 13056#1 - 4 - 1#3
7#21#montreal canadiens#3 - 0#bell centre - 21273#2 - 4 - 1#5
8#23#buffalo sabres#1 - 6#prudential center - 14228#2 - 5 - 1#5
9#24#new york rangers#1 - 3#madison square garden - 18200#2 - 6 - 1#5
10#27#san jose sharks#2 - 5#hp pavilion - 17562#2 - 7 - 1#5
11#29#anaheim ducks#2 - 1#honda center - 14724#3 - 7 - 1#7
