date of issue#denomination#design#paper type#first day cover cancellation
5 january 2007#52 cents#john belisle , kosta tsetsekas#tullis russell coatings#toronto , on
5 january 2007#1.55#john belisle , kosta tsetsekas#tullis russell coatings#toronto , on
15 january 2007#52 cents#karen smith , trivium design inc#tullis russell coatings#ottawa , on
12 february 2007#52 cents#q30 design inc#tullis russell coatings#igloolik , nu
1 march 2007#52 cents#isabelle toussaint#tullis russell coatings#cornwall , on
12 march 2007#52 cents#denis lallier#tullis russell coatings#montreal , qc
12 march 2007#52 cents#hélène l'heureux#tullis russell coatings#st john 's , nl
3 april 2007#52 cents#denis lallier#tullis russell coatings#saskatoon , sk
3 may 2007#52 cents#john mcquarrie#tullis russell coatings#ottawa , on
9 may 2007#52 cents#ivan novotny and taylorsprules corporation#tullis russell coatings#ottawa , on
22 june 2007#1.55#niko potton , fleming design#tullis russell coatings#vancouver , bc
26 june 2007#52 cents#debbie adams#tullis russell coatings#toronto , on
29 june 2007#52 cents#circle design inc#lowe - martin#toronto , on
6 july 2007#52 cents#saskia van kampen#tullis russell#glovertown , newfoundland
20 july 2007#52 cents#saskia van kampen#tullis russell#jasper , alberta
25 july 2007#52 cents#matthias reinicke lime design inc#tullis russell#tamaracouta , qc
26 july 2007#52 cents#fugazi#tullis russell#st peters , nova scotia
13 september 2007#52 cents#bradbury branding design inc#tullis russell#regina , saskatchewan
13 september 2007#52 cents#xerxes irani#tullis russell#edmonton , alberta
1 october 2007#52 cents#sputnik design partners inc#tullis russell coatings#halifax , nova scotia
12 october 2007#1 cent#keith martin#tullis russell coatings#beeton , ontario
12 october 2007#3 cents#keith martin#tullis russell coatings#beeton , ontario
12 october 2007#5 cents#keith martin#tullis russell coatings#beeton , ontario
12 october 2007#10 cents#keith martin#tullis russell coatings#beeton , ontario
12 october 2007#25 cents#keith martin#tullis russell coatings#beeton , ontario
1 november 2007#permanent#hélène lheureux#tullis russell coatings#tuktoyaktuk , northwest territories
1 november 2007#permanent#tandem design associates inc#tullis russell coatings#hope , british columbia
1 november 2007#93 cents#tandem design associates inc#tullis russell coatings#ange - gardien , quebec
1 november 2007#1.55#tandem design associates inc#tullis russell coatings#peace river , alberta
27 december 2007#permanent#monique dufour , sophie lafortune#tullis russell coatings#bloomfield station , pei
27 december 2007#96 cents#monique dufour , sophie lafortune#tullis russell coatings#bloomfield station , pei
27 december 2007#one dollar and fifteen cents#monique dufour , sophie lafortune#tullis russell coatings#bloomfield station , pei
27 december 2007#one dollar and sixty cents#monique dufour , sophie lafortune#tullis russell coatings#bloomfield station , pei
27 december 2007#permanent (spicer type paper)#gottschalk + ash international#canadian bank note#bjorkdale , saskatchewan
27 december 2007#permanent#gottschalk + ash international#canadian bank note#sambro , nova scotia
