rank#stadium#capacity#club#region
1#lobanovsky dynamo stadium#16873#fc dynamo - 2 kyiv#kiev
2#mcs rukh#16000#fsc prykarpattya ivano - frankivsk#ivano - frankivsk
3#illychivets#12680#fc illichivets mariupol#donetsk
4#youri haharyn#12000#fc desna chernihiv#chernihiv
5#csk zsu#12000#csca kyiv#kiev
6#avanhard#11574#fc volyn lutsk#lutsk
7#central#10321#fc dnipro cherkasy#cherkasy
8#stal#9200#fc stal alchevsk#luhansk
9#sk sevastopol#6500#pfc sevastopol#crimea
10#dynamo#6000#fc helios kharkiv#kharkiv
11#ksc nika#5640#pfc oleksandria#kirovohrad
12#fiolent#5000#fc ihroservice simferopol#crimea
13#enerhetyk stadium#4000#fc enerhetyk burshtyn#ivano - frankivsk
14#kniazha arena#3220#fc lviv#lviv
15#stc krymteplitsia#3000#fc krymteplitsia molodizhne#crimea
16#metalurh#2900#fc stal dniprodzerzhynsk#dnipropetrovsk
17#central city stadium#1500#mfk mykolaiv#mykolaiv
18#dukov dniester stadium#1500#fc dniester ovidiopol#odessa
19#obolon#4300#fc obolon kyiv#kiev
20#kalinino#1050#fc feniks - illichovets kalinine#crimea
