date#visitor#score#home#record
october 8#chicago black hawks#0 - 3#montreal canadiens#0 - 1 - 0
october 10#chicago black hawks#2 - 6#toronto maple leafs#0 - 2 - 0
october 11#new york rangers#5 - 3#chicago black hawks#0 - 3 - 0
october 16#detroit red wings#2 - 2#chicago black hawks#0 - 3 - 1
october 17#chicago black hawks#1 - 2#detroit red wings#0 - 4 - 1
october 18#toronto maple leafs#2 - 1#chicago black hawks#0 - 5 - 1
october 22#montreal canadiens#3 - 2#chicago black hawks#0 - 6 - 1
october 25#boston bruins#4 - 3#chicago black hawks#0 - 7 - 1
october 28#chicago black hawks#6 - 1#new york rangers#1 - 7 - 1
october 31#montreal canadiens#0 - 1#chicago black hawks#2 - 7 - 1
november 1#boston bruins#0 - 0#chicago black hawks#2 - 7 - 2
november 4#chicago black hawks#1 - 3#toronto maple leafs#2 - 8 - 2
november 5#chicago black hawks#2 - 4#boston bruins#2 - 9 - 2
november 7#new york rangers#3 - 1#chicago black hawks#2 - 10 - 2
november 8#toronto maple leafs#2 - 1#chicago black hawks#2 - 11 - 2
november 11#chicago black hawks#2 - 3#new york rangers#2 - 12 - 2
november 12#chicago black hawks#2 - 4#montreal canadiens#2 - 13 - 2
november 14#chicago black hawks#3 - 2#montreal canadiens#3 - 13 - 2
november 15#montreal canadiens#2 - 2#chicago black hawks#3 - 13 - 3
november 18#chicago black hawks#1 - 3#new york rangers#3 - 14 - 3
november 20#boston bruins#2 - 0#chicago black hawks#3 - 15 - 3
november 22#toronto maple leafs#5 - 1#chicago black hawks#3 - 16 - 3
november 26#montreal canadiens#6 - 3#chicago black hawks#3 - 17 - 3
november 28#chicago black hawks#0 - 9#detroit red wings#3 - 18 - 3
november 29#detroit red wings#9 - 4#chicago black hawks#3 - 19 - 3
december 2#chicago black hawks#3 - 3#new york rangers#3 - 19 - 4
december 3#chicago black hawks#1 - 3#boston bruins#3 - 20 - 4
december 5#new york rangers#1 - 2#chicago black hawks#4 - 20 - 4
december 6#chicago black hawks#5 - 0#detroit red wings#5 - 20 - 4
december 10#chicago black hawks#3 - 5#montreal canadiens#5 - 21 - 4
december 12#chicago black hawks#0 - 2#toronto maple leafs#5 - 22 - 4
december 13#boston bruins#2 - 2#chicago black hawks#5 - 22 - 5
december 17#chicago black hawks#1 - 5#detroit red wings#5 - 23 - 5
december 18#detroit red wings#5 - 3#chicago black hawks#5 - 24 - 5
december 20#toronto maple leafs#1 - 4#chicago black hawks#6 - 24 - 5
december 25#chicago black hawks#1 - 4#boston bruins#6 - 25 - 5
december 27#chicago black hawks#4 - 1#new york rangers#7 - 25 - 5
january 1#detroit red wings#2 - 4#chicago black hawks#8 - 25 - 5
january 2#chicago black hawks#0 - 4#toronto maple leafs#8 - 26 - 5
january 6#chicago black hawks#3 - 4#new york rangers#8 - 27 - 5
january 9#chicago black hawks#1 - 12#montreal canadiens#8 - 28 - 5
january 10#chicago black hawks#3 - 5#boston bruins#8 - 29 - 5
january 13#chicago black hawks#1 - 2#toronto maple leafs#8 - 30 - 5
january 14#new york rangers#2 - 0#chicago black hawks#8 - 31 - 5
january 17#toronto maple leafs#3 - 1#chicago black hawks#8 - 32 - 5
january 21#boston bruins#3 - 2#chicago black hawks#8 - 33 - 5
january 23#chicago black hawks#1 - 5#montreal canadiens#8 - 34 - 5
january 24#montreal canadiens#3 - 8#chicago black hawks#9 - 34 - 5
january 28#chicago black hawks#2 - 3#boston bruins#9 - 35 - 5
january 30#chicago black hawks#2 - 4#detroit red wings#9 - 36 - 5
january 31#detroit red wings#5 - 1#chicago black hawks#9 - 37 - 5
february 4#new york rangers#3 - 2#chicago black hawks#9 - 38 - 5
february 6#chicago black hawks#0 - 6#toronto maple leafs#9 - 39 - 5
february 7#toronto maple leafs#1 - 2#chicago black hawks#10 - 39 - 5
february 11#montreal canadiens#2 - 2#chicago black hawks#10 - 39 - 6
february 14#detroit red wings#5 - 0#chicago black hawks#10 - 40 - 6
february 15#chicago black hawks#2 - 3#detroit red wings#10 - 41 - 6
february 19#new york rangers#3 - 0#chicago black hawks#10 - 42 - 6
february 21#boston bruins#4 - 3#chicago black hawks#10 - 43 - 6
february 25#detroit red wings#3 - 2#chicago black hawks#10 - 44 - 6
february 27#chicago black hawks#2 - 4#toronto maple leafs#10 - 45 - 6
february 28#toronto maple leafs#1 - 2#chicago black hawks#11 - 45 - 6
march 5#new york rangers#0 - 0#chicago black hawks#11 - 45 - 7
march 7#chicago black hawks#0 - 6#boston bruins#11 - 46 - 7
march 10#chicago black hawks#2 - 4#new york rangers#11 - 47 - 7
march 11#chicago black hawks#2 - 6#detroit red wings#11 - 48 - 7
march 13#chicago black hawks#0 - 4#montreal canadiens#11 - 49 - 7
march 14#montreal canadiens#6 - 0#chicago black hawks#11 - 50 - 7
march 19#boston bruins#0 - 7#chicago black hawks#12 - 50 - 7
march 21#chicago black hawks#5 - 9#boston bruins#12 - 51 - 7
