game#date#team#score#high points#high rebounds#high assists#location attendance#record
34#january 1#minnesota#l 88 - 103 (ot)#sasha vujačić (22)#kris humphries (14)#devin harris (8)#target center 12665#9 - 25
35#january 5#chicago#w 96 - 94 (ot)#kris humphries (20)#kris humphries (11)#devin harris (11)#prudential center 15025#10 - 25
36#january 7#washington#l 77 - 97 (ot)#jordan farmar , brook lopez (14)#stephen graham (9)#devin harris (3)#verizon center 16017#10 - 26
37#january 8#milwaukee#l 92 - 115 (ot)#kris humphries (22)#kris humphries (8)#jordan farmar (10)#prudential center 12898#10 - 27
38#january 12#phoenix#l 109 - 118 (ot)#sasha vujačić (19)#travis outlaw (11)#devin harris (15)#us airways center 16334#10 - 28
39#january 14#la lakers#l 88 - 100 (ot)#brook lopez (35)#kris humphries (15)#devin harris (8)#staples center 18997#10 - 29
40#january 15#portland#l 89 - 96 (ot)#brook lopez (32)#kris humphries (10)#devin harris (6)#rose garden 20441#10 - 30
41#january 17#golden state#l 100 - 109 (ot)#brook lopez (20)#kris humphries (10)#devin harris (8)#oracle arena 18563#10 - 31
42#january 19#utah#w 103 - 95 (ot)#brook lopez (20)#travis outlaw (8)#devin harris (8)#prudential center 13251#11 - 31
43#january 21#detroit#w 89 - 74 (ot)#brook lopez (15)#kris humphries (12)#devin harris (9)#prudential center 13316#12 - 31
44#january 22#dallas#l 86 - 87 (ot)#brook lopez (24)#kris humphries (15)#devin harris (11)#prudential center 14051#12 - 32
45#january 24#cleveland#w 103 - 101 (ot)#brook lopez (28)#kris humphries (11)#devin harris (10)#prudential center 10197#13 - 32
46#january 26#memphis#w 93 - 88 (ot)#anthony morrow (19)#derrick favors (9)#devin harris (9)#prudential center 8866#14 - 32
47#january 28#indiana#l 92 - 124 (ot)#brook lopez (28)#travis outlaw (6)#devin harris (9)#conseco fieldhouse 11337#14 - 33
48#january 29#milwaukee#l 81 - 91 (ot)#brook lopez (26)#kris humphries (10)#devin harris (16)#bradley center 17173#14 - 34
