position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#cp mérida#38#72#21#9#8#57#35#+ 22
2#ud salamanca#38#71#20#11#7#72#33#+ 39
3#rcd mallorca#38#70#20#10#8#59#38#+ 21
4#albacete#38#66#19#9#10#51#32#+ 19
5#sd eibar#38#66#17#15#6#44#26#+ 18
6#cd badajoz#38#60#15#15#8#38#26#+ 12
7#ud las palmas#38#52#13#13#12#54#46#+ 8
8#cd leganés#38#52#13#13#12#43#39#+ 4
9#levante ud#38#50#13#11#14#53#46#+ 7
10#villarreal cf#38#48#13#9#16#38#52#- 14
11#ue lleida#38#48#12#12#14#48#41#+ 7
12#atlético de madrid b#38#47#12#11#15#57#61#- 4
13#deportivo alavés#38#47#12#11#15#43#47#- 4
14#cd toledo#38#45#12#9#17#37#53#- 16
15#cd ourense#38#44#11#11#16#35#46#- 11
16#ca osasuna#38#44#11#11#16#34#42#- 8
17#almería cf#38#41#9#14#15#40#51#- 11
18#real madrid b#38#41#11#8#19#40#69#- 29
19#barcelona b#38#34#7#13#18#40#63#- 23
20#écija#38#30#7#9#22#27#64#- 37
