team#city#inaugural season#final season#captain#coach
abbottabad falcons#abbottabad , kp#2005 - 06#2012 - 13#younus khan#sajjad akbar
lahore eagles#lahore , pj#2004 - 05#2012 - 13#taufeeq umar#manzoor elahi
faisalabad wolves#faisalabad , pj#2004 - 05#2012 - 13#misbah - ul - haq#naveed anjum
bahawalpur stags#bahawalpur , pj#2012 - 13#2012 - 13#bilal khilji#shahid anwar
hyderabad hawks#hyderabad , sn#2004 - 05#2012 - 13#rizwan ahmed#shaukat mirza
islamabad leopards#islamabad , ct#2005 - 06#2012 - 13#umar gul#taimoor azam
afghan cheetahs#kabul , afghanistan#2011 - 12#2011 - 12#mohammad nabi#raees ahmadzai
karachi dolphins#karachi , sn#2004 - 05#2012 - 13#shahid afridi#tauseef ahmed
lahore lions#lahore , pj#2004 - 05#2012 - 13#mohammad hafeez#mohsin kamal
multan tigers#multan , pj#2004 - 05#2012 - 13#abdur rauf#manzoor elahi
peshawar panthers#peshawar , kp#2004 - 05#2012 - 13#akbar badshah#abdur rehman
quetta bears#quetta , bl#2004 - 05#2012 - 13#gohar faiz#arshad khan
rawalpindi rams#rawalpindi , pj#2004 - 05#2012 - 13#sohail tanvir#sabih azhar
sialkot stallions#sialkot , pj#2004 - 05#2012 - 13#shoaib malik#ijaz ahmed jnr
karachi zebras#karachi , sn#2004 - 05#2012 - 13#rameez raja#azam khan
