cdp name#county#pop. (2010)#land ( sq mi )#water (sq mi)#coordinates#fips code#ansi code
accord#ulster#562#3.400#0.043#41.801649 , - 74.230348#3600155#02389116
adams center#jefferson#1568#4.855#0.135#43.869969 , - 75.988612#3600232#02389117
albertson#nassau#5182#0.680#0.000#40.771580 , - 73.648155#3601011#02389121
altona#clinton#730#1.709#0.000#44.890097 , - 73.659565#3601572#02389128
amagansett#suffolk#1165#6.527#0.024#40.989824 , - 72.129707#3601594#02389130
amenia#dutchess#955#1.218#0.027#41.848205 , - 73.555583#3601682#02389131
andes#delaware#252#1.193#0.000#42.187559 , - 74.780523#3602121#02627968
angola on the lake#erie#1675#2.546#0.000#42.654965 , - 79.052239#3602220#02389136
apalachin#tioga#1131#1.459#0.000#42.070565 , - 76.162636#3602308#02389140
aquebogue#suffolk#2438#3.812#0.099#40.943988 , - 72.615472#3602374#02389141
arlington#dutchess#4061#0.668#0.000#41.695869 , - 73.898881#3602616#02389147
armonk#westchester#4330#5.966#0.093#41.133800 , - 73.717990#3602649#02389150
au sable forks#clinton#559#2.520#0.023#44.454707 , - 73.670879#3603254#02389158
averill park#rensselaer#1693#2.933#0.118#42.638827 , - 73.550665#3603320#02389161
baiting hollow#suffolk#1642#3.213#0.000#40.964623 , - 72.740315#3604055#02389167
baldwin harbor#nassau#8102#1.205#0.522#40.629981 , - 73.601991#3604154#02389169
baldwin#nassau#24033#2.963#0.025#40.663379 , - 73.610770#3604143#02389168
balmville#orange#3178#2.117#0.004#41.527905 , - 74.024627#3604286#02389171
bardonia#rockland#4108#2.574#0.355#41.113952 , - 73.979297#3604396#02389173
barnum island#nassau#2414#0.879#0.388#40.606348 , - 73.645982#3604550#02389175
bay park#nassau#2212#0.500#0.102#40.629489 , - 73.667813#3604891#02389178
bay shore#suffolk#26337#5.368#0.159#40.730313 , - 73.249320#3604935#02389179
bayport#suffolk#8896#3.720#0.076#40.745984 , - 73.056388#3604913#02389180
baywood#suffolk#7350#2.260#0.000#40.753377 , - 73.290032#3605039#02389181
beaver dam lake#orange#2242#1.812#0.298#41.447070 , - 74.115875#3605193#02389188
bedford#westchester#1834#3.507#0.048#41.195974 , - 73.645855#3605309#02389190
bedford hills#westchester#3001#1.006#0.000#41.240568 , - 73.688077#3605342#02585491
belfast#allegany#837#1.385#0.027#42.336195 , - 78.116873#3605562#02627970
bellerose terrace#nassau#2198#0.125#0.000#40.722147 , - 73.725146#3605661#02389196
belleville#jefferson#226#0.264#0.000#43.784192 , - 76.116915#3605683#02584243
bellmore#nassau#16218#2.359#0.615#40.658699 , - 73.527056#3605738#02389199
bethpage#nassau#16429#3.576#0.000#40.749518 , - 73.485536#3606387#02389207
big flats#chemung#5277#16.300#0.077#42.163617 , - 76.908739#3606464#02389210
billington heights#erie#1685#3.193#0.007#42.785031 , - 78.626552#3606574#02389211
binghamton university#broome#6177#0.775#0.000#42.089141 , - 75.968456#3606644#02631223
blauvelt#rockland#5689#4.502#0.105#41.068258 , - 73.954975#3606860#02389215
bliss#wyoming#527#9.792#0.000#42.580138 , - 78.253745#3606904#02627975
blodgett mills#cortland#303#2.174#0.000#42.566516 , - 76.132873#3606937#02627977
bloomville#delaware#213#1.317#0.002#42.334396 , - 74.822777#3607025#02627981
blue point#suffolk#4773#1.794#0.006#40.751516 , - 73.035841#3607069#02389219
bohemia#suffolk#10180#8.620#0.037#40.776697 , - 73.134857#3607157#02389223
bolton landing#warren#513#1.062#0.176#43.562185 , - 73.657030#3607245#02631634
brasher falls#st. lawrence#669#1.638#0.101#44.813979 , - 74.788948#3607960#02584244
breesport#chemung#626#1.628#0.012#42.184071 , - 76.739368#3608004#02631224
brentwood#suffolk#60664#10.981#0.000#40.783912 , - 73.252145#3608026#02389235
brewerton#onondaga#4029#3.166#0.172#43.232299 , - 76.144961#3608059#02389237
brewster hill#putnam#2089#0.870#0.110#41.421304 , - 73.606864#3608092#02389238
bridgehampton#suffolk#1756#13.010#0.623#40.950702 , - 72.313334#3608136#02389240
bridgeport#madison#1490#1.724#0.015#43.149437 , - 75.985320#3608147#02389241
brighton#monroe#36609#15.416#0.168#43.118015 , - 77.582070#3608257#02389242
brinckerhoff#dutchess#2900#1.120#0.005#41.551937 , - 73.870924#3608334#02389243
brookhaven#suffolk#3451#5.761#0.146#40.776671 , - 72.907833#3609000#02389246
busti#chautauqua#391#2.264#0.000#42.042324 , - 79.278902#3611440#02628040
byersville#livingston#47#0.510#0.000#42.583882 , - 77.791523#3611550#02584245
cairo#greene#1402#4.227#0.006#42.305447 , - 74.012401#3611638#02389263
calcium#jefferson#3491#5.544#0.002#44.051919 , - 75.848347#3611671#02389264
callicoon#sullivan#167#0.359#0.086#41.766858 , - 75.062027#3611748#02389266
