res#record#opponent#method#event#round#time#location
loss#15 - 7 - 1#phil de fries#decision (unanimous)#ufc 138#3#5:00#birmingham , england , united kingdom
loss#15 - 6 - 1#travis browne#decision (unanimous)#ufc 135#3#5:00#denver , colorado , united states
win#15 - 5 - 1#vinicius queiroz#submission (rear - naked choke)#ufc 120#3#1:43#london , england
win#14 - 5 - 1#oli thompson#decision (unanimous)#zt fight night : heavyweights collide#3#5:00#hove , england
win#13 - 5 - 1#james thompson#ko (punch)#zt fight night : heavyweights collide#2#2:28#hove , england
win#12 - 5 - 1#neil wain#submission (guillotine choke)#zt fight night : heavyweights collide#2#1:16#hove , england
win#11 - 5 - 1#akhmed sultanov#submission (keylock)#2009 m - 1 challenge seasonfinal round#1#4:31#rostov oblast , russia
loss#10 - 5 - 1#jessie gibbs#decision (unanimous)#m - 1 global presents breakthrough#3#5:00#kansas city , missouri , united states
win#10 - 4 - 1#soufian elgarne#tko (ankle injury)#2009_m - 1_challenge_seasonseason_results#1#2:02#kansas city , missouri , united states
win#9 - 4 - 1#yusuke kawaguchi#decision (unanimous)#2009_m - 1_challenge_seasonseason_results#2#5:00#tokyo , japan
loss#8 - 4 - 1#ricco rodriguez#submission (kneebar)#cg 9: beatdown#2#3:39#liverpool , england
win#8 - 3 - 1#neil grove#decision (majority)#cage rage 25#3#5:00#london , england
loss#7 - 3 - 1#tengiz tedoradze#tko (doctor stoppage)#cage rage 20#2#0:58#london , england
win#7 - 2 - 1#eric esch#submission (punches)#cage rage 19#2#3:43#london , england
win#6 - 2 - 1#robert berry#tko (punches)#cage rage 18#1#3:33#london , england
win#5 - 2 - 1#james thompson#tko (punches)#cage rage 17#3#0:49#london , england
win#4 - 2 - 1#martin thompson#submission (guillotine choke)#war in workington 1#2#3:40#cumbria , england
win#3 - 2 - 1#sidnei da silva#tko#cage gladiators 1#1#0:44#liverpool , england
loss#2 - 2 - 1#peter cousins#decision#intense fighting 2#n / a#n / a#cambridge , england
win#2 - 1 - 1#andy ryan#tko (punches)#rings : bushido ireland#1#n / a#ireland
win#1 - 1 - 1#ryan robinson#ko#cfc 3: cage carnage#1#n / a#liverpool , england
draw#0 - 1 - 1#assim assine#draw#cfc 2: cage carnage#2#n / a#liverpool , england
loss#0 - 1#milco voorn#submission (choke)#cfc 1: cage carnage#n / a#n / a#liverpool , england
