game#date#team#score#high points#high rebounds#high assists#location attendance#record
19#december 2#oklahoma city#l 106 - 117 (ot)#andre iguodala (28)#andre iguodala , samuel dalembert (6)#willie green (6)#ford center 17332#5 - 14
20#december 5#charlotte#l 105 - 106 (ot)#willie green (26)#andre iguodala , thaddeus young (11)#andre iguodala (7)#time warner cable arena 13352#5 - 15
21#december 7#denver#l 83 - 93 (ot)#andre iguodala (31)#samuel dalembert (15)#allen iverson (6)#wachovia center 20664#5 - 16
22#december 9#detroit#l 86 - 90 (ot)#andre iguodala (18)#samuel dalembert (11)#andre iguodala (9)#wachovia center 12136#5 - 17
23#december 11#houston#l 91 - 96 (ot)#andre iguodala (24)#samuel dalembert (14)#willie green (5)#wachovia center 13991#5 - 18
24#december 14#golden state#w 117 - 101 (ot)#thaddeus young (26)#thaddeus young (14)#jrue holiday (6)#wachovia center 12795#6 - 18
25#december 16#cleveland#l 101 - 108 (ot)#andre iguodala (26)#thaddeus young (10)#jrue holiday (9)#wachovia center 19517#6 - 19
26#december 18#boston#w 98 - 97 (ot)#elton brand (23)#marreese speights (10)#jrue holiday (7)#td garden 18624#7 - 19
27#december 19#la clippers#l 107 - 112 (ot)#marreese speights (28)#andre iguodala , marreese speights (9)#andre iguodala , jrue holiday (7)#wachovia center 13752#7 - 20
28#december 22#washington#l 98 - 105 (ot)#elton brand (18)#elton brand (12)#andre iguodala (7)#verizon center 15435#7 - 21
29#december 26#utah#l 76 - 97 (ot)#thaddeus young (20)#samuel dalembert (9)#andre iguodala , willie green (3)#energysolutions arena 19911#7 - 22
30#december 28#portland#w 104 - 93 (ot)#elton brand (25)#elton brand (9)#andre iguodala (9)#rose garden arena 20640#8 - 22
