season#club#competition#apps#goals
1995 / 96#fc twente#eredivisie#1#0
1996 / 97#fc twente#eredivisie#0#0
1997 / 98#fc twente#eredivisie#0#0
1998 / 99#fc twente#eredivisie#1#0
1999 / 00#fc twente#eredivisie#0#0
2000 / 01#cambuur#eerste divisie#24#0
2001 / 02#cambuur#eerste divisie#33#0
2002 / 03#fc twente#eredivisie#3#0
2003 / 04#fc twente#eredivisie#21#0
2004 / 05#fc twente#eredivisie#5#0
2004 / 05#ado den haag#eredivisie#4#0
2005 / 06#ado den haag#eredivisie#2#0
2006 / 07#fc twente#eredivisie#1#0
2007 / 08#fc twente#eredivisie#0#0
2008 / 09#fc twente#eredivisie#0#0
2009 / 10#fc twente#eredivisie#1#0
2010 / 11#excelsior#eredivisie#24#0
total#total#total#120#0
