rank#name#confederation#caps#last
1#kristine lilly#concacaf#352#2010
2#christie rampone#concacaf#282#2013
3#mia hamm#concacaf#275#2004
4#julie foudy#concacaf#272#2004
5#joy fawcett#concacaf#239#2004
6#birgit prinz#uefa#214#2011
7#abby wambach#concacaf#206#2013
8#tiffeny milbrett#concacaf#204#2005
9#kate markgraf#concacaf#201#2010
10#pu wei#afc#201#2008
11#li jie#afc#200#2008
12#sandrine soubeyrand#uefa#198#2013
13#christine sinclair#concacaf#195#2013
14#brandi chastain#concacaf#192#2005
15#fan yunjie#afc#192#2004
16#kerstin stegemann#uefa#191#2009
17#katrine pedersen#uefa#190#2012
18#han duan#afc#188#2011
19#hege riise#uefa#188#2004
20#homare sawa#afc#187#2013
21#shannon boxx#concacaf#186#2013
22#zhao lihong#afc#182#2003
23#therese sjögran#uefa#182#2011
24#patrizia panico#uefa#179#2012
25#shannon macmillan#concacaf#176#2005
26#ariane hingst#uefa#174#2011
27#liu ailing#afc#173#2001
28#briana scurry#concacaf#173#2008
29#bente nordby#uefa#172#2007
30#carla overbeck#concacaf#168#2000
31#cathrine paaske - sørensen#uefa#163#2010
32#wen lirong#afc#163#2001
33#sun wen#afc#163#2001
34#wang liping#afc#162#2004
35#victoria svensson#uefa#162#2009
36#cindy parlow#concacaf#158#2004
37#kristin bengtsson#uefa#157#2005
38#annemieke griffioen#uefa#156#2011
39#tatiana zorri#uefa#155#2010
40#bettina wiegmann#uefa#154#2003
41#bi yan#afc#154#2011
42#michelle akers#concacaf#153#2000
43#carolina morace#uefa#153#1996
44#linda medalen#uefa#152#1999
45#malin andersson#uefa#151#2005
46#heather o 'reilly#concacaf#172#2012
47#cheryl salisbury#ofc / afc#151#2009
48#heidi støre#uefa#151#1997
49#solveig gulbrandsen#uefa#150#2010
50#renate lingor#uefa#149#2008
51#sandra minnert#uefa#147#2007
52#pia sundhage#uefa#146#1996
53#doris fitschen#uefa#144#2001
54#svetlana petko#uefa#144#2005
55#pauline hamill#uefa#141#2011
56#marleen wissink#uefa#141#2006
57#sonia bompastor#uefa#156#2012
58#merete pedersen#uefa#136#2011
59#carla couto#uefa#138#2011
60#cat whitehill#concacaf#135#2010
61#gemma fay#uefa#144#2012
62#unni lehn#uefa#134#2007
63#hope solo#concacaf#133#2012
64#liu huana#afc#133#2011
65#sandra smisek#uefa#133#2008
66#liu ying#afc#132#2004
67#andrea neil#concacaf#132#2007
68#tisha venturini#concacaf#132#2000
69#aly wagner#concacaf#131#2009
70#kerstin garefrekes#uefa#130#2011
71#charmaine hooper#concacaf#130#2006
72#laura kalmari#uefa#130#2011
73#hanna ljungberg#uefa#130#2008
74#heather garriock#ofc / afc#129#2011
75#diana matheson#concacaf#127#2011
76#tatiana skotnikova#uefa#127#2011
77#silke rottenberg#uefa#126#2008
78#lindsay tarpley#concacaf#126#2011
79#karolina westberg#uefa#126#2011
80#martina voss#uefa#125#2000
81#natalia barbachina#uefa#124#2011
82#ri kum - suk#afc#123#2009
80#dyanne bito#uefa#121#2011
83#corinne diacre#uefa#121#2005
82#lorrie fair#concacaf#120#2008
83#julie fleeting#uefa#120#2011
84#irina grigorieva#uefa#120#2005
85#hanna marklund#uefa#120#2007
86#brit sandaune#uefa#120#2004
87#sanna valkonen#uefa#120#2010
86#antonella carta#uefa#119#1999
88#gillian coultard#uefa#119#2000
89#hiromi isozaki / ikeda#afc#119#2011
90#tomoe sakai / katoh#afc#119#2011
91#anne eggers nielsen#uefa#118#2007
92#sun hui ho#afc#118#2009
93#jessica julin#uefa#118#2009
94#carli lloyd#concacaf#118#2011
95#anne mäkinen#uefa#118#2009
96#trine rønning#uefa#118#2011
97#marina burakova#uefa#117#2004
98#carin jennings - gabarra#concacaf#117#1996
99#heather mitts#concacaf#116#2011
100#stéphanie mugneret - béghé#uefa#116#2005
101#rachel yankey#uefa#116#2011
102#sun qingmei#afc#115#1997
103#daphne koster#uefa#114#2011
104#randee hermus#concacaf#113#2011
105#malin moström#uefa#113#2006
106#hoda lattaf#uefa#112#2008
107#elisabeth leidinge#uefa#112#1996
108#marinette pichon#uefa#112#2006
109#ann kristin aarones#uefa#111#1999
110#giorgia brenzan#uefa#111#1992
111#steffi jones#uefa#111#2007
112#maria lazarou#uefa#111#2004
113#maria makowska#uefa#111#2008
114#silvia neid#uefa#111#1996
115#lena videkull#uefa#111#1996
116#laura georges#uefa#126#2012
117#lene jensen#uefa#110#2011
118#femke maes#uefa#110#2010
119#gunn nyborg#uefa#110#1992
120#joanne peters#ofc / afc#110#2009
121#tiffany roberts#concacaf#110#2009
122#elisabetta vignotto#uefa#110#1988
123#angela hucles#concacaf#109#2009
124#jane törnqvist#uefa#109#2005
125#ane stangeland horpestad#uefa#107#2011
126#katrín jónsdóttir#uefa#106#2010
127#nadine angerer#uefa#105#2011
128#gro espeseth#uefa#105#2000
129#ingvild stensland#uefa#105#2011
130#lene terp#uefa#105#2004
131#juana lopez#concacaf#104#2011
132#heidi mohr#uefa#104#1996
133#sarina wiegman#uefa#104#2004
134#bai jie#afc#103#2003
135#anna - kaisa rantanen#uefa#103#2011
136#elvira todua#uefa#103#2011
137#anissa tann - darby#ofc#102#2002
138#brittany timko#concacaf#102#2011
139#paula cristina#uefa#102#2011
140#amy walsh#concacaf#102#2009
141#faye white#uefa#102#2011
142#pia wunderlich#uefa#102#2006
143#amy rodriguez#concacaf#101#2012
144#natalia chatzigiannidou#uefa#101#2010
145#maureen mmadu#caf#101#2011
146#ma xiaoxu#afc#100#2011
147#rachel buehler#concacaf#100#2013
148#suzanne grant#uefa#100#2013
