mexico#mañana es para siempre#el canal de las estrellas#october 20 , 2008#june 14 , 2009#monday to friday
argentina#mañana es para siempre#canal 9#november 10 , 2011#march 16 , 2012#monday to friday
bulgaria#утре и завинаги#diema family#january 11 , 2010#april 30 , 2010#monday to friday
bosnia and herzegovina#ljubav je večna#pink bh#december 3 , 2009#may 29 , 2010#monday to saturday
croatia#odavde do vječnosti#nova tv#february 1 , 2010#june 10 , 2010#monday to friday
croatia#odavde do vječnosti#doma tv#june 16 , 2011#october 30 , 2011#monday to friday
estonia#igavene homne#tv3#march 30 , 2010#november 8 , 2010#monday to friday
hungary#mindörökké szerelem#rtl klub#november 15 , 2010#july 8 , 2011#monday to friday
macedonia#љубовта е вечна#sitel tv#2009#2009#monday to friday
lithuania#amžinai tavo#lnk#march , 2009#october 30 , 2009#monday to friday
montenegro#ljubav je večna#pink m#august 10 , 2009#february 23 , 2010#monday to friday
romania#impreuna pentru totdeauna#acasă#march 29 , 2010#september 4 , 2010#monday to friday
serbia#ljubav je večna#rtv pink#june 5 , 2009#january 29 , 2010#monday to friday
slovakia#love never dies#joj plus#december 21 , 2009#april , 2010#monday to friday
slovenia#jutri je za večno#pop tv#september 25 , 2009#may 10 , 2010#monday to friday
usa#mañana es para siempre#univision#february 23 , 2009#october 5 , 2009#monday to friday
