date#result#opponent#method#round
20 november 2011#win#dominique alexander#knockout#4
31 july 2009#win#kevin karusa#knockout#5
24 april 2009#win#jason barnett#technical knockout#7
13 september 2008#win#robert kooser#knockout#1
11 / 04 / 2008#win#ed mahone#decision (unanimous)#8
26 january 2008#win#richard tutaki#knockout#1
24 march 2007#win#mosese kavika#technical knockout#4
02 / 12 / 2006#win#fatu tuimanono#technical knockout#2
27 may 2006#draw#elisara sii uta#draw#6
27 may 2006#win#john parai#knockout#2
01 / 04 / 2006#win#junior pati#knockout#3
24 february 2006#win#vai toevai#technical knockout#3
18 august 2004#loss#john wyborn#knockout#1
18 august 2004#win#steve kilarski#knockout#2
30 july 2004#draw#alex leapai#draw#6
17 july 2004#win#vai toevai#knockout#3
15 may 2004#win#steven walker#knockout#2
23 april 2004#win#chris armstrong#knockout#1
08 / 04 / 2004#win#baden oui#decision (unanimous)#4
20 february 2004#win#barry prior#knockout#3
