position#played#points#wins#draws#losses#goals for#goals against#goal difference
1#30#42#18#6#6#83#37#+ 46
2#30#40#18#4#8#63#32#+ 31
3#30#36#16#4#10#55#39#+ 16
4#30#36#15#6#9#41#37#+ 4
5#30#33#13#7#10#44#39#+ 5
6#30#32#15#2#13#60#39#+ 21
7#30#32#14#4#12#45#44#+ 1
8#30#30#13#4#13#59#51#+ 8
9#30#29#13#3#14#52#64#- 12
10#30#28#13#2#15#52#56#- 4
11#30#26#9#8#13#46#69#- 23
12#30#25#10#5#15#38#53#- 15
13#30#24#9#6#15#32#53#- 21
14#30#24#10#4#16#33#50#- 17
15#30#24#10#4#16#35#49#- 14
16#30#19#6#7#17#34#60#- 26
