name#gp - gs#gain#loss#long#avg / g
anthony dixon#12 - 12#930#61#71#72.4
christian ducre#12 - 1#234#12#20#18.5
robert elliott#4 - 0#65#4#15#15.2
tyson lee#11 - 8#228#191#18#3.4
wesley carroll#7 - 4#54#72#20#- 2.6
jamayel smith#12 - 4#13#10#9#0.2
wade bonner#12 - 0#11#1#3#0.8
brandon hart#12 - 2#9#0#4#0.8
chris relf#2 - 0#20#33#10#- 6.5
eric hoskins#11 - 4#3#0#3#0.3
brandon mcrae#12 - 10#0#1#0#- 0.1
marcus green#2 - 1#0#3#0#- 1.5
team#8 - 0#0#30#0#- 3.8
total#12#1645#425#71#101.7
opponents#12#2055#244#88#150.9
