name#position#height#weight#year#home town
cole aldrich#center#6 - 11#245#sophomore#bloomington , mn
tyrone appleton#guard#6 - 3#190#junior#midland , texas
brennan bechard#guard#6 - 0#183#senior#lawrence , ks
chase buford#guard#6 - 3#200#sophomore#san antonio , texas
sherron collins#guard#5 - 11#200#junior#chicago , il
jordan juenemann#guard#6 - 4#195#freshman#hays , ks
matt kleinmann#center#6 - 10#247#senior#overland park , ks
mario little#forward#6 - 5#210#junior#marianna , fl
brady morningstar#guard#6 - 3#185#sophomore#lawrence , ks
marcus morris#forward#6 - 8#230#freshman#pennsauken , nj
markieff morris#forward#6 - 9#220#freshman#pennsauken , nj
tyrel reed#guard#6 - 3#180#sophomore#burlington , ks
travis releford#guard#6 - 5#190#freshman#shawnee mission , ks
tyshawn taylor#guard#6 - 3#160#freshman#jersey city , nj
conner teahan#guard#6 - 5#200#sophomore#leawood , ks
quintrell thomas#forward#6 - 8#225#freshman#elizabeth , nj
