name#number#position#year#hometown
tim abromaitis#21#f#freshman#farmington , ct
tim andree#41#f#sophomore#colts neck , nj
ryan ayers#42#f / g#junior#blue bell , pa
luke harangody#44#f#sophomore#schererville , in
zach hillesland#33#f#junior#toledo , oh
tory jackson#2#g#sophomore#saginaw , mi
tom kopko#5#g#freshman#chicago , il
rob kurz#31#f#senior#lower gwynedd township , pa
kyle mcalarney#23#g#junior#staten island , ny
tyrone nash#1#g#freshman#queens , ny
jonathan peoples#20#g#sophomore#bellwood , il
ty proffitt#13#g#freshman#london , ky
carleton scott#34#f#freshman#san antonio , tx
luke zeller#40#f / c#junior#washington , in
