name#team#qual 1#qual 2#best
robert wickens#red bull forsythe racing#1:32.542#1:30.934#1:30.934
james hinchcliffe#sierra sierra enterprises#1:32.410#1:31.896#1:31.896
jonathan bomarito#pr1 motorsports#1:32.835#1:31.126#1:31.126
raphael matos#sierra sierra enterprises#1:32.693#1:31.147#1:31.147
jr hildebrand#newman wachs racing#1:33.014#1:31.191#1:31.191
franck perera#condor motorsports#1:33.083#1:31.202#1:31.202
carl skerlong#us racetronics#1:32.443#1:31.203#1:31.203
simona de silvestro#walker racing#1:33.298#1:31.327#1:31.327
john edwards#red bull forsythe racing#1:33.478#1:31.732#1:31.732
giacomo ricci#conquest racing#1:35.190#1:31.975#1:31.975
alan sciuto#alan sciuto racing#1:34.514#1:31.992#1:31.992
matt lee#conquest racing#1:34.748#1:32.061#1:32.061
tom sutherland#jensen motorsport#1:34.106#1:32.209#1:32.209
ronnie bremer#polestar racing group#1:33.747#1:32.269#1:32.269
junior strous#condor motorsports#1:34.316#1:32.615#1:32.615
adrien herberts#paladin motorsports#1:35.065#1:32.679#1:32.679
mike forest#pr1 motorsports#1:35.571#1:32.863#1:32.863
david garza#us racetronics#1:33.088#1:32.951#1:32.951
justin sofio#mathiasen motorsports#1:34.655#1:33.185#1:33.185
adrian carrio#genoa racing#1:35.779#1:33.583#1:33.583
frankie muniz#jensen motorsport#1:36.358#1:34.290#1:34.290
richard heistand#genoa racing#1:35.402#1:34.431#1:34.431
brian thienes#condor motorsports#1:35.969#1:34.578#1:34.578
dominick muermans#jensen motorsport#1:38.210#1:34.835#1:34.835
dan selznick#the room store#1:37.696#1:35.133#1:35.133
jiang tengyi#brooks associates racing#1:37.451#1:35.250#1:35.250
bret macdonald#polestar racing group#1:36.662#1:36.677#1:36.662
