cover date#story title#writer / s#letterer / s#colourist / s
12 september 1987#worlds apart (part 1)#simon furman#annie halfacree#steve white
12 september 1987#ring of hate (part 1)#bob budiansky#albers#nelson yomtov
19 september 1987#worlds apart (part 2)#simon furman#annie halfacree#nick abadzis
19 september 1987#ring of hate (part 2)#bob budiansky#albers#nelson yomtov
26 september 1987#kup 's story#simon furman#annie halfacree#steve white
26 september 1987#ring of hate (part 3)#bob budiansky#albers#nelson yomtov
3 october 1987#head hunt (part 1)#simon furman#richard starkings#steve white
3 october 1987#ring of hate (part 4)#bob budiansky#albers#nelson yomtov
10 october 1987#head hunt (part 2)#simon furman#richard starkings#steve white
10 october 1987#broken glass (part 1)#bob budiansky#albers#nelson yomtov
17 october 1987#grude match (part 1)#simon furman#annie halfacree#steve white
17 october 1987#broken glass (part 2)#bob budiansky#albers#nelson yomtov
24 october 1987#grude match (part 2)#simon furman#annie halfacree#steve white
24 october 1987#broken glass (part 3)#bob budiansky#albers#nelson yomtov
31 october 1987#ladies' night (part 1)#simon furman#annie halfacree#euan peters
31 october 1987#broken glass (part 4)#bob budiansky#albers#nelson yomtov
7 november 1987#ladies' night (part 2)#simon furman#annie halfacree#nick abadzis
7 november 1987#love and steel (part 1)#bob budiansky#albers#nelson yomtov
14 november 1987#used autobots (part 1)#bob budiansky#albers#nelson yomtov
14 november 1987#love and steel (part 2)#bob budiansky#albers#nelson yomtov
21 november 1987#used autobots (part 2)#bob budiansky#albers#nelson yomtov
21 november 1987#love and steel (part 3)#bob budiansky#albers#nelson yomtov
28 november 1987#child 's play (part 1)#bob budiansky#jack morelli#nelson yomtov
28 november 1987#love and steel (part 4)#bob budiansky#albers#nelson yomtov
5 december 1987#child 's play (part 2)#bob budiansky#jack morelli#nelson yomtov
5 december 1987#brothers in armour (part 1)#bob budiansky#albers#nelson yomtov
12 december 1987#spacehikers (part 1)#bob budiansky#albers#nelson yomtov
12 december 1987#brothers in armour (part 2)#bob budiansky#albers#nelson yomtov
19 december 1987#spacehikers (part 2)#bob budiansky#albers#nelson yomtov
19 december 1987#brothers in armour (part 3)#bob budiansky#albers#nelson yomtov
26 december 1987#stargazing#simon furman (plot) & ian rimmer (script)#annie halfacree#euan peters
26 december 1987#brothers in armour (part 4)#bob budiansky#albers#nelson yomtov
