game#date#opponent#score#location / attendance#record
56#march 1#cleveland cavaliers#w 74 - 68#the omni#32 - 24
game#date#opponent#score#location / attendance#record
57#march 2#milwaukee bucks#l 106 - 110#bradley center#32 - 25
58#march 4#detroit pistons#l 93 - 99#the palace of auburn hills#32 - 26
59#march 7#cleveland cavaliers#w 83 - 72#gund arena#33 - 26
60#march 8#milwaukee bucks#w 94 - 91#the omni#34 - 26
61#march 10#washington bullets#l 91 - 99#us airways arena#34 - 27
62#march 12#utah jazz#w 115 - 89#the omni#35 - 27
63#march 14#houston rockets#l 106 - 114#the summit#35 - 28
64#march 16#san antonio spurs#l 92 - 119#alamodome#35 - 29
65#march 20#vancouver grizzlies#w 98 - 93#the omni#36 - 29
66#march 22#charlotte hornets#w 117 - 92#charlotte coliseum#37 - 29
67#march 23#detroit pistons#w 92 - 84#the omni#38 - 29
68#march 26#toronto raptors#w 114 - 111#skydome#39 - 29
69#march 28#chicago bulls#l 80 - 111#united center#39 - 30
70#march 29#los angeles lakers#l 89 - 102#the omni#39 - 31
71#march 31#boston celtics#w 93 - 92#fleet center#40 - 31
