country / territory#former pageant#last competed#new pageant#franchise since
albania#miss albania#2005#miss universe albania#2006
aruba#miss aruba#2011#miss universe aruba#2012
australia#miss australia#2000#miss universe australia#2004
bahamas#miss universe bahamas#2009#miss bahamas#2010
brazil#miss brazil#2011#miss universo brasil#2012
canada#miss canada#2001#miss universe canada#2002
czech republic#miss české republiky#2004#česká miss#2005
denmark#frøken danmark#1996#miss universe denmark#2004
egypt#miss egypt#1955#miss egypt universe#1987
el salvador#miss el salvador#2005#nuestra belleza el salvador#2006
finland#suomen neito#1960#miss suomi#1961
germany#miss deutschland#2008#miss universe germany#2009
guatemala#miss universo guatemala#2009#miss guatemala#2010
hungary#miss universe hungary#2007#a királynő#2008
india#i am she#2012#femina miss india#2013
japan#miss japan#1997#miss universe japan#1998
malaysia#miss malaysia universe#2009#miss universe malaysia#2010
mexico#señorita méxico#1993#nuestra belleza méxico#1994
netherlands#miss universe netherlands#2009#miss netherlands#2010
new zealand#miss new zealand#2003#miss universe new zealand#2006
norway#frøken norge#2010#miss universe norway#2012
panama#señorita panamá#2010#miss panamá#2011
philippines#miss philippines#1963#binibining pilipinas#1964
puerto rico#miss puerto rico#1998#miss universe puerto rico#2009
romania#miss romania#2008#miss universe romania#2009
spain#miss españa#2011#miss universe spain#2012
sri lanka#miss sri lanka#2004#miss sri lanka universe#2005
sweden#fröken sverige#2004#miss universe sweden#2009
