position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#albacete bp#38#49 + 11#18#13#7#56#31#+ 25
2#deportivo de la coruña#38#48 + 10#20#8#10#60#32#+ 28
3#real murcia#38#48 + 10#18#12#8#56#36#+ 20
4#cd málaga#38#46 + 8#16#14#8#52#35#+ 17
5#orihuela deportiva 1#38#43 + 5#12#19#7#46#39#+ 7
6#ue lleida#38#43 + 5#16#11#11#41#36#+ 5
7#ue figueres#38#39 + 1#14#11#13#44#42#+ 2
8#sestao#38#38#9#20#9#29#27#+ 2
9#real avilés#38#38#10#18#10#35#37#- 2
10#sd eibar#38#37 - 1#9#19#10#35#34#+ 1
11#rayo vallecano#38#36 - 2#8#20#10#44#50#- 6
12#ce sabadell fc#38#36 - 2#11#14#13#32#45#- 13
13#bilbao athletic#38#36 - 2#11#14#13#35#43#- 8
14#celta de vigo#38#36 - 2#8#20#10#31#38#- 7
15#ud las palmas#38#36 - 2#10#16#12#38#43#- 5
16#palamós cf#38#35 - 3#9#17#12#33#46#- 13
17#elche cf#38#34 - 4#12#10#16#39#45#- 9
18#ud salamanca#38#31 - 7#9#13#16#41#40#+ 1
19#levante ud#38#27 - 11#6#15#17#27#51#- 24
20#xerez cd#38#24 - 14#6#12#20#37#61#- 24
