rider#manufacturer#laps#time#grid
nicolas terol#aprilia#16#29:51.350#6
pol espargaro#derbi#16#+ 1.708#1
stefan bradl#aprilia#16#+ 3.984#3
scott redding#aprilia#16#+ 4.277#9
sandro cortese#aprilia#16#+ 4.413#10
marc marquez#ktm#16#+ 4.454#13
simone corsi#aprilia#16#+ 6.261#7
bradley smith#aprilia#16#+ 7.782#11
steve bonsey#aprilia#16#+ 12.035#15
mike di meglio#derbi#16#+ 12.251#2
dominique aegerter#derbi#16#+ 15.465#8
joan olivã#derbi#16#+ 18.312#12
raffaele de rosa#ktm#16#+ 20.137#17
gabor talmacsi#aprilia#16#+ 24.651#16
danny webb#aprilia#16#+ 27.592#4
jules cluzel#loncin#16#+ 35.432#31
robin lasser#aprilia#16#+ 37.082#22
sergio gadea#aprilia#16#+ 38.549#23
tomoyoshi koyama#ktm#16#+ 38.571#18
efren vazquez#aprilia#16#+ 40.991#24
hugo van den berg#aprilia#16#+ 1:06.197#30
pj jacobsen#aprilia#16#+ 1:06.327#25
bastien chesaux#aprilia#16#+ 1:07.067#34
jonas folger#aprilia#16#+ 1:14.709#29
robert muresan#aprilia#16#+ 1:20.413#32
alexis masbou#loncin#16#+ 1:21.880#27
davide stirpe#ktm#16#+ 1:22.026#33
cyril carrillo#honda#16#+ 1:22.159#35
kristian lee turner#aprilia#16#+ 2:11.524#36
lorenzo zanetti#ktm#13#retirement#28
marco ravaioli#aprilia#10#accident#26
pablo nieto#ktm#9#retirement#20
michael ranseder#aprilia#7#accident#19
takaaki nakagami#aprilia#6#accident#14
andrea iannone#aprilia#5#retirement#5
esteve rabat#ktm#2#accident#21
