res#record#opponent#method#event#round#time#location
loss#12 - 7 - 1#shamil abdurahimov#decision (unanimous)#tech - krep fc : southern front 2#3#5:00#krasnodar , russia
win#12 - 6 - 1#tomasz czerwinski#ko (punches)#ucmma 31#1#2:59#london , england , united kingdom
loss#11 - 6 - 1#todd duffee#tko (punches)#sfl 2#1#0:34#chandigarh , india
loss#11 - 5 - 1#thiago santos#submission (rear - naked choke)#bellator 56#1#0:38#kansas city , kansas , united states
loss#11 - 4 - 1#mike hayes#decision (split)#bellator 52#3#5:00#lake charles , louisiana , united states
win#11 - 3 - 1#zak jensen#tko (punches)#bellator 47#1#2:00#rama , ontario , canada
loss#10 - 3 - 1#cole konrad#submission (keylock)#bellator 32#1#4:45#kansas city , missouri , united states
win#10 - 2 - 1#alexey oleinik#tko (punches)#bellator 29#1#0:45#milwaukee , wisconsin , united states
win#9 - 2 - 1#eddie sanchez#tko (referee stoppage)#bellator 24#1#1:32#hollywood , florida , united states
draw#8 - 2 - 1#stav economou#draw#ucmma 12: never back down#3#5:00#london , england
win#8 - 2#martin thompson#tko (punches)#ucmma 8: dynamite#1#0:53#london , england
loss#7 - 2#mike ciesnolevicz#submission (inverted heel hook)#ufc 95#1#1:03#london , england
win#7 - 1#james mcsweeney#ko (punches)#ucmma 1: bad breed#2#1:38#london , england
win#6 - 1#robert berry#tko (punches)#cage rage 27#2#1:29#london , england
loss#5 - 1#rob broughton#decision (majority)#cage rage 25#3#5:00#london , england
win#5 - 0#robert berry#tko (corner stoppage)#cage rage 24#1#5:00#london , england
win#4 - 0#domagoj ostojić#tko (punches)#cage rage 23#1#0:34#london , england
win#3 - 0#james thompson#ko (punch)#cage rage 22#1#0:10#london , england
win#2 - 0#denniston sutherland#tko (punches)#ukmmac 18: fists of fury#1#3:05#purfleet , england
win#1 - 0#anthony okorie#tko (punches)#ukmmac 17: iron circle#1#0:54#england
