town#population (2001)#population rank#county#municipality
adutiškis#778#82#vilnius county#švenčionys district municipality
akademija , kaunas#4213#1#kaunas county#kaunas district municipality
akademija , kėdainiai#873#71#kaunas county#kėdainiai district municipality
alanta#464#157#utena county#molėtai district municipality
alizava#450#159#panevėžys county#kupiškis district municipality
alsėdžiai#956#57#telšiai county#plungė district municipality
andrioniškis#278#203#utena county#anykščiai district municipality
antalieptė#359#182#utena county#zarasai district municipality
antašava#247#214#panevėžys county#kupiškis district municipality
aukštadvaris#1031#41#vilnius county#trakai district municipality
babtai#1715#15#kaunas county#kaunas district municipality
bagaslaviškis#185#232#vilnius county#širvintos district municipality
baisogala#2548#3#šiauliai county#radviliškis district municipality
balbieriškis#1180#32#kaunas county#prienai district municipality
balninkai#470#154#utena county#molėtai district municipality
barstyčiai#659#108#klaipėda county#skuodas district municipality
bartninkai#495#145#marijampolė county#vilkaviškis district municipality
barzdai#472#152#marijampolė county#šakiai district municipality
batakiai#261#208#tauragė county#tauragė district municipality
bazilionai#475#150#šiauliai county#šiauliai district municipality
betygala#559#129#kaunas county#raseiniai district municipality
bezdonys#857#73#vilnius county#vilnius district municipality
butrimonys#1126#35#alytus county#alytus district municipality
čedasai#239#218#panevėžys county#rokiškis district municipality
čekiškė#734#90#kaunas county#kaunas district municipality
darbėnai#1598#20#klaipėda county#kretinga district municipality
daugailiai#351#183#utena county#utena district municipality
daujėnai#479#149#panevėžys county#pasvalys district municipality
daukšiai#310#192#marijampolė county#marijampolė municipality
debeikiai#452#158#utena county#anykščiai district municipality
deltuva#503#143#vilnius county#ukmergė district municipality
dieveniškės#916#62#vilnius county#šalčininkai district municipality
dotnuva#775#85#kaunas county#kėdainiai district municipality
dovilai#1231#29#klaipėda county#klaipėda district municipality
dubingiai#239#219#utena county#molėtai district municipality
duokiškis#248#211#panevėžys county#rokiškis district municipality
eigirdžiai#746#88#telšiai county#telšiai district municipality
endriejavas#718#94#klaipėda county#klaipėda district municipality
eržvilkas#518#139#tauragė county#jurbarkas district municipality
gadūnavas#122#240#telšiai county#telšiai district municipality
gardamas#437#163#klaipėda county#šilutė district municipality
gaurė#468#155#tauragė county#tauragė district municipality
geležiai#386#174#panevėžys county#panevėžys district municipality
gelvonai#380#176#vilnius county#širvintos district municipality
giedraičiai#778#83#utena county#molėtai district municipality
girkalnis#997#49#kaunas county#raseiniai district municipality
gražiškiai#401#167#marijampolė county#vilkaviškis district municipality
grinkiškis#900#65#šiauliai county#radviliškis district municipality
griškabūdis#1024#43#marijampolė county#šakiai district municipality
gruzdžiai#1747#12#šiauliai county#šiauliai district municipality
gudeliai#447#160#marijampolė county#marijampolė municipality
gudžiūnai#656#110#kaunas county#kėdainiai district municipality
igliškėliai#334#185#marijampolė county#marijampolė municipality
janapolė#465#156#telšiai county#telšiai district municipality
jašiūnai#1879#9#vilnius county#šalčininkai district municipality
joniškis , utena#325#187#utena county#molėtai district municipality
josvainiai#1545#22#kaunas county#kėdainiai district municipality
judrėnai#531#132#klaipėda county#klaipėda district municipality
jūžintai#491#146#panevėžys county#rokiškis district municipality
kačerginė#715#97#kaunas county#kaunas district municipality
kairiai#1158#34#šiauliai county#šiauliai district municipality
kaltanėnai#282#202#vilnius county#švenčionys district municipality
kaltinėnai#835#74#tauragė county#šilalė district municipality
kamajai#681#101#panevėžys county#rokiškis district municipality
kapčiamiestis#691#99#alytus county#lazdijai district municipality
karklėnai#401#168#šiauliai county#kelmė district municipality
karmėlava#2886#2#kaunas county#kaunas district municipality
kartena#1022#44#klaipėda county#kretinga district municipality
katyčiai#737#89#klaipėda county#šilutė district municipality
kernavė#307#194#vilnius county#širvintos district municipality
keturvalakiai#134#237#marijampolė county#vilkaviškis district municipality
kintai#833#75#klaipėda county#šilutė district municipality
klovainiai#980#52#šiauliai county#pakruojis district municipality
krakės#991#51#kaunas county#kėdainiai district municipality
kražiai#784#80#šiauliai county#kelmė district municipality
krekenava#2003#6#panevėžys county#panevėžys district municipality
kretingalė#977#53#klaipėda county#klaipėda district municipality
krikliniai#290#199#panevėžys county#pasvalys district municipality
krinčinas#527#134#panevėžys county#pasvalys district municipality
kriukai#602#118#šiauliai county#joniškis district municipality
kriūkai#371#179#marijampolė county#šakiai district municipality
krokialaukis#239#220#alytus county#alytus district municipality
krosna#401#169#alytus county#lazdijai district municipality
kruonis#726#92#kaunas county#kaišiadorys district municipality
kruopiai#614#114#šiauliai county#akmenė district municipality
kuktiškės#485#147#utena county#utena district municipality
kuliai#704#98#telšiai county#plungė district municipality
kupreliškis#248#212#panevėžys county#biržai district municipality
kurkliai#474#151#utena county#anykščiai district municipality
kurtuvėnai#326#186#šiauliai county#šiauliai district municipality
kužiai#1420#26#šiauliai county#šiauliai district municipality
kvėdarna#1934#7#tauragė county#šilalė district municipality
labanoras#75#244#vilnius county#švenčionys district municipality
laižuva#560#128#telšiai county#mažeikiai district municipality
lapės#1038#40#kaunas county#kaunas district municipality
lauko soda#177#233#telšiai county#telšiai district municipality
laukuva#998#47#tauragė county#šilalė district municipality
leckava#235#222#telšiai county#mažeikiai district municipality
leipalingis#1736#13#alytus county#druskininkai municipality
lekėčiai#1040#39#marijampolė county#šakiai district municipality
leliūnai#483#148#utena county#utena district municipality
lenkimai#779#81#klaipėda county#skuodas district municipality
lioliai#544#130#šiauliai county#kelmė district municipality
liudvinavas#1055#37#marijampolė county#marijampolė municipality
lukšiai#1651#16#marijampolė county#šakiai district municipality
luokė#777#84#telšiai county#telšiai district municipality
lyduokiai#169#234#vilnius county#ukmergė district municipality
lyduvėnai#125#238#kaunas county#raseiniai district municipality
lygumai#664#105#šiauliai county#pakruojis district municipality
maišiagala#1634#18#vilnius county#vilnius district municipality
merkinė#1434#25#alytus county#varėna district municipality
meškuičiai#1218#30#šiauliai county#šiauliai district municipality
mickūnai#1415#27#vilnius county#vilnius district municipality
mielagėnai#286#201#utena county#ignalina district municipality
miežiškiai#716#95#panevėžys county#panevėžys district municipality
mosėdis#1379#28#klaipėda county#skuodas district municipality
musninkai#472#153#vilnius county#širvintos district municipality
naujamiestis , panevėžys#832#76#panevėžys county#panevėžys district municipality
nemakščiai#905#64#kaunas county#raseiniai district municipality
nemunaitis#218#228#alytus county#alytus district municipality
nemunėlio radviliškis#729#91#panevėžys county#biržai district municipality
nerimdaičiai#349#184#telšiai county#telšiai district municipality
nevarėnai#659#109#telšiai county#telšiai district municipality
onuškis#584#123#vilnius county#trakai district municipality
pabaiskas#249#210#vilnius county#ukmergė district municipality
pabiržė#364#181#panevėžys county#biržai district municipality
pagiriai#523#137#kaunas county#kėdainiai district municipality
pagramantis#569#126#tauragė county#tauragė district municipality
pajūris#872#72#tauragė county#šilalė district municipality
pakuonis#680#102#kaunas county#prienai district municipality
palėvenė#89#243#panevėžys county#kupiškis district municipality
palonai#441#161#šiauliai county#radviliškis district municipality
panemunėlis#287#200#panevėžys county#rokiškis district municipality
panemunis#308#193#panevėžys county#rokiškis district municipality
panoteriai#399#170#kaunas county#jonava district municipality
papilė#1449#24#šiauliai county#akmenė district municipality
papilys#312#191#panevėžys county#biržai district municipality
pašilė#224#227#šiauliai county#kelmė district municipality
pašušvys#395#172#šiauliai county#radviliškis district municipality
pašvitinys#440#162#šiauliai county#pakruojis district municipality
pavandenė#323#188#telšiai county#telšiai district municipality
pernarava#299#196#kaunas county#kėdainiai district municipality
pikeliai#520#138#telšiai county#mažeikiai district municipality
pilviškiai#1493#23#marijampolė county#vilkaviškis district municipality
plateliai#1021#45#telšiai county#plungė district municipality
plikiai#607#117#klaipėda county#klaipėda district municipality
pociūnėliai#535#131#šiauliai county#radviliškis district municipality
pumpėnai#952#58#panevėžys county#pasvalys district municipality
pušalotas#885#67#panevėžys county#pasvalys district municipality
raguva#610#115#panevėžys county#panevėžys district municipality
raudonė#716#96#tauragė county#jurbarkas district municipality
rimšė#274#204#utena county#ignalina district municipality
rozalimas#928#61#šiauliai county#pakruojis district municipality
rudamina#296#198#alytus county#lazdijai district municipality
rukla#2374#4#kaunas county#jonava district municipality
rumšiškės#1833#10#kaunas county#kaišiadorys district municipality
rusnė#1642#17#klaipėda county#šilutė district municipality
šakyna#425#164#šiauliai county#šiauliai district municipality
salamiestis#300#195#panevėžys county#kupiškis district municipality
saldutiškis#389#173#utena county#utena district municipality
saločiai#913#63#panevėžys county#pasvalys district municipality
salos#228#225#panevėžys county#rokiškis district municipality
sasnava#670#104#marijampolė county#marijampolė municipality
šaukėnai#721#93#šiauliai county#kelmė district municipality
šaukotas#583#124#šiauliai county#radviliškis district municipality
seirijai#933#60#alytus county#lazdijai district municipality
semeliškės#660#107#vilnius county#elektrėnai municipality
senasis subačius#194#230#panevėžys county#kupiškis district municipality
seredžius#749#87#tauragė county#jurbarkas district municipality
šeštokai#755#86#alytus county#lazdijai district municipality
šešuoliai#189#231#vilnius county#ukmergė district municipality
šėta#1025#42#kaunas county#kėdainiai district municipality
šiaulėnai#890#66#šiauliai county#radviliškis district municipality
sidabravas#610#116#šiauliai county#radviliškis district municipality
siesikai#601#120#vilnius county#ukmergė district municipality
šilai#298#197#panevėžys county#panevėžys district municipality
šiluva#800#78#kaunas county#raseiniai district municipality
šimkaičiai#265#207#tauragė county#jurbarkas district municipality
šimonys#505#141#panevėžys county#kupiškis district municipality
sintautai#586#122#marijampolė county#šakiai district municipality
skaistgirys#964#54#šiauliai county#joniškis district municipality
skapiškis#496#144#panevėžys county#kupiškis district municipality
skiemonys#92#242#utena county#anykščiai district municipality
smilgiai#652#111#panevėžys county#panevėžys district municipality
stakiai#241#217#tauragė county#jurbarkas district municipality
sudeikiai#407#166#utena county#utena district municipality
šumskas#998#48#vilnius county#vilnius district municipality
šunskai#524#135#marijampolė county#marijampolė municipality
surdegis#244#216#utena county#anykščiai district municipality
surviliškis#376#178#kaunas county#kėdainiai district municipality
suvainiškis#245#215#panevėžys county#rokiškis district municipality
svėdasai#1002#46#utena county#anykščiai district municipality
švėkšna#2053#5#klaipėda county#šilutė district municipality
šventežeris#274#205#alytus county#lazdijai district municipality
taujėnai#322#189#vilnius county#ukmergė district municipality
tauragnai#602#119#utena county#utena district municipality
teneniai#369#180#tauragė county#šilalė district municipality
tirkšliai#1626#19#telšiai county#mažeikiai district municipality
traupis#229#224#utena county#anykščiai district municipality
truskava#137#236#kaunas county#kėdainiai district municipality
tryškiai#1555#21#telšiai county#telšiai district municipality
turmantas#397#171#utena county#zarasai district municipality
tverai#680#103#telšiai county#rietavas municipality
tverečius#272#206#utena county#ignalina district municipality
ubiškė#215#229#telšiai county#telšiai district municipality
upyna#409#165#tauragė county#šilalė district municipality
užpaliai#877#70#utena county#utena district municipality
vadaktai#227#226#šiauliai county#radviliškis district municipality
vadokliai#651#112#panevėžys county#panevėžys district municipality
vadžgirys#505#142#tauragė county#jurbarkas district municipality
vainutas#993#50#klaipėda county#šilutė district municipality
valkininkai#238#221#alytus county#varėna district municipality
vandžiogala#946#59#kaunas county#kaunas district municipality
vaškai#688#100#panevėžys county#pasvalys district municipality
veiveriai#1100#36#kaunas county#prienai district municipality
veiviržėnai#964#55#klaipėda county#klaipėda district municipality
veliuona#883#68#tauragė county#jurbarkas district municipality
vepriai#663#106#vilnius county#ukmergė district municipality
vėžaičiai#1749#11#klaipėda county#klaipėda district municipality
vidiškiai#528#133#vilnius county#ukmergė district municipality
viduklė#1911#8#kaunas county#raseiniai district municipality
viešintos#383#175#utena county#anykščiai district municipality
viešvilė#1045#38#tauragė county#jurbarkas district municipality
vilkyškiai#883#69#tauragė county#pagėgiai municipality
vištytis#566#127#marijampolė county#vilkaviškis district municipality
vyžuonos#581#125#utena county#utena district municipality
ylakiai#1165#33#klaipėda county#skuodas district municipality
žaiginys#380#177#kaunas county#raseiniai district municipality
žalpiai#125#239#šiauliai county#kelmė district municipality
zapyškis#254#209#kaunas county#kaunas district municipality
žarėnai#588#121#telšiai county#telšiai district municipality
žasliai#818#77#kaunas county#kaišiadorys district municipality
žeimelis#1216#31#šiauliai county#pakruojis district municipality
žeimiai#962#56#kaunas county#jonava district municipality
želva#516#140#vilnius county#ukmergė district municipality
žemaičių kalvarija#798#79#telšiai county#plungė district municipality
žemaičių naumiestis#1716#14#klaipėda county#šilutė district municipality
žemaitkiemis#313#190#vilnius county#ukmergė district municipality
žemoji panemunė#106#241#marijampolė county#šakiai district municipality
zibalai#165#235#vilnius county#širvintos district municipality
židikai#524#136#telšiai county#mažeikiai district municipality
žvingiai#231#223#tauragė county#šilalė district municipality
žvirgždaičiai#248#213#marijampolė county#šakiai district municipality
žygaičiai#643#113#tauragė county#tauragė district municipality
