rank#player#nation#games#goals#years
1#nick rimando#usa#201#0#2007 - present
2#andy williams#jam#189#14#2005 - 2011
3#kyle beckerman#usa#177#21#2007 - present
4#chris wingert#usa#174#1#2007 - present
5#nat borchers#usa#173#9#2008 - present
6#javier morales#arg#155#28#2007 - present
7#tony beltran#usa#135#0#2008 - present
8#ned grabavoy#usa#126#8#2009 - present
9#fabián espíndola#arg#125#35#2007 - 2012
10#robbie findley#usa#121#35#2007 - 2010 , 2013 - present
11#jámison olave#col#120#10#2008 - 2012
12#will johnson#can#114#9#2008 - 2012
