place#player#country#score#to par
1#peter thomson#australia#70 + 69 = 139#1
2#ben hogan#united states#72 + 68 = 140#e
t3#jerry barber#united states#72 + 69 = 141#+ 1
t3#wes ellis#united states#71 + 70 = 141#+ 1
t3#ed furgol#united states#71 + 70 = 141#+ 1
t3#cary middlecoff#united states#71 + 70 = 141#+ 1
t7#julius boros#united states#71 + 71 = 142#+ 2
t7#ted kroll#united states#72 + 70 = 142#+ 2
t7#arnold palmer#united states#72 + 70 = 142#+ 2
t10#fred haas#united states#72 + 71 = 143#+ 3
t10#billy maxwell#united states#72 + 71 = 143#+ 3
t10#frank taylor , jr (a)#united states#72 + 71 = 143#+ 3
