release#start#pieces#board (inches)#board (cm)#type
1981#1942#415#37 19½#93 50#global
1984#1942#299#33 19½#83 50#global
1999#1941#373#30 20#75 50#theater
2001#1941#335#30 20#75 50#theater
2004#1944#241#30 20#75 50#local
2004#1942#366#33 20#83 50#global
2006#1944#157#30 20#75 50#local
2007#1942#172#30 20#75 50#local
2008#1941 / 42#672#46 24#115 60#global
2009#1942#370#33 20#83 50#global
2009#1940#455#35 32#89 81#theater
2010#1940#550#35 32#89 81#theater
2010#1940#1005#70 32#178 81#global
2012#1941#160#32.5 17.5#83 44#global
2012#1942#410#40 26#102 66#global
2012#1940#500#35 32#89 81#theater
2012#1940#610#35 32#89 81#theater
2012#1940#1110#70 32#178 81#global
2013#1914#400#32.5 x 32.25#82.6 x 81.9#theater
