date#venue#score#result#competition
february 26 , 1985#acapulco , mexico#2 - 1#win#friendly
september 22 , 1985#san jose , united states#1 - 0#win#friendly
december 10 , 1985#guadalajara , mexico#2 - 1#win#1985 mexico cup
december 14 , 1985#toluca , mexico#2 - 0#win#1985 mexico cup
october 6 , 1987#toluca , mexico#4 - 0#win#friendly
december 2 , 1987#santa ana , united states#9 - 0#win#friendly
february 21 , 1989#los angeles , united states#2 - 1#win#friendship cup
june 28 , 1991#los angeles , united states#4 - 1#win#1991 concacaf gold cup
june 30 , 1991#los angeles , united states#3 - 1#win#1991 concacaf gold cup
july 3 , 1991#los angeles , united states#1 - 1#draw#1991 concacaf gold cup
october 7 , 1992#los angeles , united states#2 - 0#win#friendly
october 14 , 1992#dresden , germany#1 - 1#draw#friendly
december 6 , 1992#mexico city , mexico#11 - 0#win#1994 fifa world cup qualification
november 3 , 1993#san diego , united states#3 - 0#win#friendly
january 19 , 1994#san diego , united states#1 - 1#draw#friendly
june 11 , 1994#miami , united states#3 - 0#win#friendly
december 14 , 1994#mexico city , mexico#5 - 1#win#friendly
october 16 , 1996#mexico city , mexico#2 - 1#win#1998 fifa world cup qualification
october 30 , 1996#mexico city , mexico#5 - 1#win#1998 fifa world cup qualification
november 6 , 1996#mexico city , mexico#3 - 1#win#1998 fifa world cup qualification
november 20 , 1996#los angeles , united states#3 - 1#win#friendly
january 17 , 1997#san diego , united states#3 - 1#win#1997 us cup
february 19 , 1997#fresno , united states#1 - 1#draw#friendly
march 2 , 1997#mexico city , mexico#4 - 0#win#1998 fifa world cup qualification
april 13 , 1997#mexico city , mexico#6 - 0#win#1998 fifa world cup qualification
april 20 , 1997#foxborough , united states#2 - 2#draw#1998 fifa world cup qualification
october 12 , 1997#edmonton , canada#2 - 2#draw#1998 fifa world cup qualification
november 9 , 1997#mexico city , mexico#3 - 3#draw#1998 fifa world cup qualification
