game#date#opponent#score#location#attendance#record#points
63#march 3#buffalo sabres#3 - 1#hsbc arena#18690#42 - 13 - 8#92
64#march 4#tampa bay lightning#5 - 4#verizon center#18277#43 - 13 - 8#94
65#march 6#new york rangers#2 - 0#verizon center#18277#44 - 13 - 8#96
66#march 8#dallas stars#4 - 3 so#verizon center#18277#44 - 13 - 9#97
67#march 10#carolina hurricanes#4 - 3 ot#verizon center#18277#45 - 13 - 9#99
68#march 12#tampa bay lightning#2 - 3#verizon center#18277#45 - 14 - 9#99
69#march 14#chicago blackhawks#4 - 3 ot#united center#22289#46 - 14 - 9#101
70#march 16#florida panthers#7 - 3#bankatlantic center#15123#47 - 14 - 9#103
71#march 18#carolina hurricanes#3 - 4 ot#rbc center#18144#47 - 14 - 10#104
72#march 20#tampa bay lightning#3 - 1#st pete times forum#19844#48 - 14 - 10#106
73#march 24#pittsburgh penguins#4 - 3 so#verizon center#18277#49 - 14 - 10#108
74#march 25#carolina hurricanes#3 - 2 so#rbc center#18046#49 - 14 - 11#109
75#march 28#calgary flames#5 - 3#verizon center#18277#49 - 15 - 11#109
