round#pick#overall#name#position#college
1#9#9#don bosseler#fb#miami (fl)
2#8#21#joe walton#e#pittsburgh
3#8#33#ed sutton#hb#north carolina
4#3#40#jim podoley#hb#central michigan
4#8#45#vince scorsone#g#pittsburgh
6#8#69#j t frankenberger#ot#kentucky
7#8#81#wally merz#ot#colorado
8#8#93#paul lopata#e#central michigan
9#8#105#galen laack#g#pacific
10#8#117#don dobrino#rb#iowa
11#8#129#dick foster#ot#idaho
12#8#141#wade mitchell#qb#georgia tech
13#8#153#claude austin#rb#george washington
14#8#165#george rice#ot#wofford
15#8#177#brad bomba#e#indiana
16#8#189#joe brodsky#rb#florida
17#8#201#fred brock#rb#wheaton
18#8#213#ed sakach#g#george washington
19#8#225#john bauer#rb#villanova
20#8#237#buddy frick#e#south carolina
21#8#249#sam owen#rb#georgia tech
22#8#261#ed voytek#g#purdue
23#8#273#al viola#g#northwestern
24#8#285#bob jennings#c#furman
25#8#297#dick sassels#ot#catawba
26#8#309#paul rotenberry#rb#georgia tech
27#8#321#ormand anderson#ot#georgia tech
28#8#333#guy martin#rb#colgate
29#8#345#george benedict#e#springfield
30#7#356#art luppino#rb#arizona
