city#operator#type designation#number of vehicles#width
bonn , germany#swb#k5000#15#2.65 m
bursa , turkey#bursaray#u5 - 2010 bursa#30#2.65 m
cologne , germany#kvb#k5000#59#2.65 m
cologne , germany#kvb#k5200#15#2.65 m
frankfurt am main , germany#vgf#u5 - 25 (bi - directional)#54#2.65 m
frankfurt am main , germany#vgf#u5 - 50 (uni - directional)#92#2.65 m
izmir , turkey#izmir metro#md#30#2.65 m
izmir , turkey#izmir metro#m#15#2.65 m
greater manchester , england#metrolink#m5000#94#2.65 m
rotterdam , netherlands#ret#mg2 / 1 , sg2 / 1#81#2.664 m
rotterdam , netherlands#ret#rsg3#64#2.664 m
