player#tries#goals#field goals#points
corey parker#5#75#0#170
israel folau#17#0#0#68
antonio winterstein#14#0#0#56
karmichael hunt#11#0#0#44
jharal yow yeh#9#0#0#36
steve michaels#8#0#0#32
alex glenn#6#0#0#24
peter wallace#2#6#1#21
david taylor#5#0#0#20
ben te'o#4#0#0#16
darren lockyer#4#0#0#16
justin hodges#3#0#0#12
sam thaiday#3#0#0#12
lagi setu#3#0#0#12
joel clinton#2#0#0#8
josh mcguire#2#0#0#8
ashton sims#2#0#0#8
andrew mccullough#2#0#0#8
nick kenny#1#0#0#4
total#103#81#1#585
