season#mens singles#womens singles#mens doubles#womens doubles#mixed doubles
1936 / 1937#bengt polling , malmö bk#thyra hedvall , sbk#bengt polling thore sjögren , malmö bk#thyra hedvall märtha sköld , sbk#curt - eric walldow edith persson , bk - 33 malmö
1937 / 1938#bengt polling , malmö bk#thyra hedvall , sbk#sture ericsson gösta kjellberg , brandkåren sbk#thyra hedvall märtha sköld , sbk#bengt polling gulli paulsson , malmö bk
1938 / 1939#sture ericsson , brandkåren#thyra hedvall , försäkringen#sture ericsson gösta kjellberg , brandkåren sbk#thyra hedvall carin stridbäck , försäkringsmännen#bertil jönsson britt pahle , bk - 33 malmö
1941 / 1942#hasse petersson , bk - 33 malmö#martha holmström , bk aura#sture ericsson gösta kjellberg , brandkåren sbk#thyra hedvall carin stridbäck , försäkringsmännen#bertil jönsson britt pahle , bk - 33 malmö
1942 / 1943#hasse petersson , bk - 33 malmö#thyra hedvall , sbk#helge paulsson bengt polling , malmö bk#thyra hedvall märtha sköld , sbk#sven malmfält greta lindahl , mai
1943 / 1944#hasse petersson , bk - 33 malmö#amy pettersson , mai#helge paulsson bengt polling , malmö bk#thyra hedvall märtha sköld , sbk#knut malmgren elsy killick , mai
1944 / 1945#hasse petersson , bk - 33 malmö#carin stridbeck , fjäderbollen#nils jonson anders salén , bk eken sbk#elsy killick amy pettersson , mai#olle wahlberg thyra hedvall , sbk
1945 / 1946#helge paulsen , malmö bk#amy pettersson , mai#nils jonson lars carlsson , aik#thyra hedvall märtha sköld , sbk#nils jonson kerstin bergström , aik
1946 / 1947#helge paulsen , malmö bk#carin stridbeck , fjäderbollen#nils jonson lars carlsson , aik#thyra hedvall märtha sköld , sbk#nils jonsonsigne håkansson , aik bk aura
1947 / 1948#olle wahlberg , aik#amy pettersson , mai#nils jonson lars carlsson , aik#margareta blomqvist carin stridbäck , fjäderbollen#knut malmgren berit nilsson , mai
1948 / 1949#nils jonson , aik#berit nilsson , mai#helge paulsson bengt polling , malmö bk#berit nilsson amy pettersson , mai#knut malmgren elsy killick , mai
1949 / 1950#inge blomberg , mai#amy pettersson , mai#nils jonson olle wahlberg , aik#thyra hedvall carin ternström , sbk fjäderbollen#knut malmgren elsy killick , mai
1950 / 1951#inge blomberg , mai#thora löfgren , göteborgs bk#nils jonson stellan mohlin , aik#kerstin bergström bodil sterner , aik#knut malmgren elsy killick , mai
1951 / 1952#nils jonson , aik#amy pettersson , mai#nils jonson stellan mohlin , aik#astrid löfgren tora löfgren , göteborgs bk#knut malmgren elsy killick , mai
1952 / 1953#nils jonson , aik#ulla - britt schelin , öis#nils jonson stellan mohlin , aik#bodil sterner kerstin ståhl , aik#stellan mohlin kerstin ståhl , aik
1953 / 1954#leif ekedahl , göteborgs bk#ulla - britt schelin , öis#nils jonson stellan mohlin , aik#ingrid dahlberg thyra hedvall , sbk#knut malmgren elsy killick , mai
1954 / 1955#leif ekedahl , göteborgs bk#berit olsson , mai#nils jonson stellan mohlin , aik#berit olsson amy pettersson , mai#knut malmgren elsy killick , mai
1955 / 1956#leif ekedahl , göteborgs bk#berit olsson , mff#nils jonson stellan mohlin , aik#inger nilsson berit olsson , mai#bertil glans berit olsson , halmstad bk mff
1956 / 1957#ingemar eliasson , halmstad bk#berit olsson , mff#knut malmgren bo nilsson , mai#inger nilsson berit olsson , mff#berndt dahlberg ingrid dahlberg , sbk
1957 / 1958#bertil glans , halmstad bk#berit olsson , bk aura#bo nilsson göran wahlqvist , mai bk smash#ingrid dahlberg berit olsson , sbk bk aura#bertil glans berit olsson , halmstad bk bk aura
1958 / 1959#bertil glans , halmstad bk#berit olsson , bk aura#bo nilsson göran wahlqvist , mai bk smash#ingrid dahlberg berit olsson , sbkbk aura#bertil glans berit olsson , halmstad bk bk aura
1959 / 1960#berndt dahlberg , sbk#eva pettersson , bk bollen#berndt dahlberg bertil glans , sbk halmstad bk#inger nilsson bodil sterner , mff blackeberg#bertil glans berit olsson , halmstad bk bk aura
1960 / 1961#leif ekedahl , göteborgs bk#eva pettersson , bk bollen#bengt - åke jönsson göran wahlqvist , bk smash#berit olsson ingrid persson , bk aura sbk#bengt - åke jönsson anita billberg , bk smash
1963 / 1964#kurt johnsson , hisingen#eva pettersson , ystads bk#berndt dahlberg bertil glans , sbk halmstad bk#gunilla dahlström eva pettersson , aik ystads bk#willy lund eva pettersson , mai ystads bk
1966 / 1967#sture johnsson , hisingen#eva twedberg , mai#willy lund göran wahlqvist , mai#berit ek eva twedberg , mai#göran wahlqvist eva twedberg , mai
1967 / 1968#sture johnsson , hisingen#eva twedberg , mai#rolf hansson gert nordqvist , bk aura#berit ek eva twedberg , mai#göran wahlqvist eva twedberg , mai
1969 / 1970#sture johnsson , hisingen#eva twedberg , mai#sture johnsson gert perneklo , hisingen bk aura#lena andersson eva twedberg , mai#kurt johnsson karin lindquist , hisingen bk eken
1970 / 1971#sture johnsson , spårvägen#eva twedberg , mai#willy lund göran wahlqvist , mai#ingrid nilsson eva twedberg , mai#gert perneklo eva twedberg , mai
1971 / 1972#sture johnsson , spårvägen#eva twedberg , mai#sture johnsson gert perneklo , spårvägen bk aura#ingrid nilsson eva twedberg , mai#gert perneklo eva twedberg , mai
1972 / 1973#sture johnsson , spårvägen#anette börjesson , gbk#bengt fröman thomas kihlström , ifk lidingö#anette börjesson karin lindquist , gbk spårvägen#willy lund britt - marie larsson , mai
1975 / 1976#thomas kihlström , lidingö#eva stuart , mff mai#bengt fröman thomas kihlström , ifk lidingö#karin lindquist eva stuart , ifk lidingö mff mai#claes nordin anette börjesson , gbk
1976 / 1977#sture johnsson , spårvägen#anette börjesson , gbk#bengt fröman thomas kihlström , ifk lidingö#britt - marie larsson agneta lundh , mff#lars wengberg anette börjesson , bk aura gbk
1978 / 1979#sture johnsson , malmö ff#anette börjesson , gbk#bengt fröman thomas kihlström , ifk lidingö#lena axelsson karin lindquist , ifk lidingö#lars wengberg anette börjesson , bk aura gbk
1979 / 1980#thomas kihlström , lidingö#anette börjesson , gbk#stefan karlsson claes nordin , bk aura gbk#lena axelsson karin lindquist , ifk lidingö#lars wengberg anette börjesson , bk aura gbk
1980 / 1981#thomas kihlström , bkc#lena axelsson , ifk lidingö#stefan karlsson thomas kihlström , bk aura bkc#carina andersson cecilia jeppson , bk aura#lars wengberg anette börjesson , bk aura gbk
1983 / 1984#stefan karlsson , bk aura#christine magnusson , bkc#stefan karlsson thomas kihlström , bk aura bkc#maria bengtsson christine magnusson , bk aura bkc#thomas kihlström christine magnusson , bkc
1984 / 1985#stefan karlsson , bk aura#christine magnusson , bkc#stefan karlsson thomas kihlström , bk aura bkc#maria bengtsson christine magnusson , bk aura bkc#thomas kihlström christine magnusson , bkc
