name#position#league apps#league goals#fa cup apps#fa cup goals#league cup apps#league cup goals#total apps#total goals
mike barry#mf#2 (3)#0#0#0#0#0#2 (3)#0
les chapman#mf#38 (1)#3#4#1#1#0#43 (1)#4
trevor cherry#df#42#1#4#1#1#0#46#2
dennis clarke#df#41#0#3#1#1#0#45#1
terry dolan#mf#18 (2)#1#4#1#0#0#22 (2)#2
roy ellam#df#42#1#4#0#1#0#47#1
mick fairclough#fw#5 (3)#0#0 (1)#0#0#0#5 (4)#0
bobby hoy#mf#22#0#0#0#1#0#23#0
geoff hutt#df#42#0#4#0#1#0#47#0
alan jones#df#10 (2)#0#1 (1)#0#0#0#11 (3)#0
dick krzywicki#mf#10 (3)#0#1 (1)#0#0#0#11 (4)#0
david lawson#gk#32#0#4#0#1#0#37#0
jimmy lawson#mf#40#9#4#3#1#0#45#12
dave lyon#df#2#0#0#0#0#0#2#0
brian mahoney#mf#4 (1)#0#1#0#0#0#5 (1)#0
jimmy mcgill#mf#10 (1)#0#0#0#1#0#11 (1)#0
jimmy nicholson#mf#5#0#0#0#0#0#5#0
gary pierce#gk#10#0#0#0#0#0#10#0
dave smith#mf#8 (2)#3#2#1#0#0#10 (2)#4
steve smith#mf#40#2#4#0#1#0#45#2
frank worthington#fw#39#5#4#1#1#0#44#6
